iter	RMSE
0	2802.579228
1	2715.676964
2	2641.15788
3	2574.627063
4	2517.859285
5	2468.427156
6	2423.929243
7	2384.521659
8	2352.780009
9	2319.159726
10	2292.728769
11	2267.471864
12	2246.777229
13	2223.961464
14	2203.192622
15	2188.588195
16	2172.957266
17	2157.714579
18	2145.838207
19	2133.290719
20	2122.39214
21	2109.878616
22	2099.055022
23	2089.328823
24	2082.02416
25	2073.140836
26	2065.944925
27	2059.538419
28	2053.383556
29	2047.23421
30	2040.789432
31	2033.757461
32	2027.317471
33	2022.261145
34	2016.876509
35	2012.187073
36	2007.397056
37	2002.366441
38	1998.320763
39	1994.034607
40	1990.28447
41	1986.867919
42	1983.731787
43	1979.869785
44	1975.998848
45	1972.499974
46	1968.35762
47	1966.779198
48	1963.220602
49	1959.88931
50	1957.716004
51	1954.595642
52	1952.615061
53	1949.307513
54	1946.782167
55	1943.9645
56	1942.445062
57	1940.508246
58	1938.675449
59	1935.937411
60	1934.333293
61	1932.375819
62	1930.415056
63	1928.186569
64	1925.37566
65	1924.049883
66	1922.300905
67	1921.075595
68	1919.247314
69	1918.04694
70	1916.268325
71	1914.20923
72	1912.675209
73	1911.39876
74	1910.070078
75	1909.136763
76	1908.079828
77	1907.283445
78	1905.930027
79	1904.588883
80	1903.583175
81	1902.779839
82	1901.415081
83	1900.185839
84	1898.893565
85	1897.777648
86	1896.529337
87	1895.125963
88	1893.704891
89	1892.581834
90	1891.60329
91	1890.799016
92	1889.967652
93	1889.245976
94	1888.404856
95	1887.277518
96	1886.66326
97	1885.914054
98	1885.114175
99	1884.400021
100	1883.540124
101	1882.675265
102	1882.026743
103	1881.738052
104	1881.004975
105	1880.012724
106	1879.491151
107	1878.785207
108	1877.803617
109	1876.946267
110	1876.349949
111	1875.422295
112	1874.513993
113	1873.888123
114	1873.152676
115	1872.193139
116	1871.712092
117	1871.434828
118	1870.563564
119	1869.85435
120	1869.239447
121	1868.797016
122	1868.043542
123	1867.495231
124	1866.753338
125	1865.90194
126	1865.448242
127	1865.087616
128	1864.748566
129	1863.824902
130	1863.564661
131	1863.155881
132	1862.37829
133	1861.470675
134	1860.801007
135	1859.92455
136	1859.371284
137	1858.482187
138	1857.94109
139	1857.613119
140	1856.824749
141	1856.189432
142	1855.875156
143	1855.241754
144	1854.698694
145	1853.920797
146	1853.190915
147	1852.855657
148	1852.231598
149	1851.268038
150	1850.981606
151	1850.875179
152	1850.447548
153	1850.16082
154	1849.774196
155	1849.499809
156	1849.258908
157	1848.738559
158	1848.063318
159	1847.803525
160	1847.409575
161	1847.085444
162	1846.663489
163	1846.211671
164	1845.695511
165	1845.317162
166	1844.975346
167	1844.34226
168	1844.190626
169	1843.623955
170	1843.600124
171	1843.279475
172	1842.767106
173	1842.410015
174	1841.9295
175	1841.921671
176	1841.164498
177	1840.75311
178	1840.312631
179	1840.159187
180	1839.995319
181	1839.628295
182	1838.98383
183	1838.978094
184	1838.681401
185	1838.29129
186	1838.043699
187	1837.540009
188	1837.5011
189	1836.902313
190	1836.770328
191	1836.470775
192	1836.247271
193	1835.797189
194	1835.666373
195	1835.385309
196	1835.224813
197	1834.918233
198	1834.915773
199	1834.913493
200	1834.026493
201	1833.941344
202	1833.287918
203	1832.929219
204	1832.549122
205	1832.422622
206	1832.419371
207	1832.235794
