iter	Passed	Remaining
0	93	93547
1	170	85304
2	254	84446
3	330	82225
4	429	85422
5	512	84941
6	598	84841
7	680	84368
8	763	84019
9	845	83681
10	927	83416
11	997	82098
12	1082	82157
13	1170	82425
14	1261	82855
15	1353	83229
16	1439	83234
17	1521	83024
18	1607	82999
19	1690	82815
20	1771	82601
21	1846	82090
22	1935	82209
23	2018	82090
24	2103	82043
25	2191	82084
26	2281	82225
27	2370	82305
28	2448	81992
29	2535	81976
30	2616	81790
31	2698	81627
32	2775	81321
33	2845	80837
34	2928	80746
35	3014	80715
36	3098	80644
37	3177	80447
38	3258	80304
39	3348	80371
40	3427	80180
41	3508	80024
42	3588	79865
43	3677	79902
44	3759	79779
45	3850	79850
46	3925	79592
47	4006	79452
48	4095	79482
49	4175	79333
50	4262	79322
51	4346	79247
52	4430	79164
53	4531	79389
54	4619	79374
55	4708	79368
56	4793	79300
57	4885	79352
58	4973	79330
59	5063	79333
60	5147	79241
61	5234	79185
62	5328	79249
63	5411	79141
64	5485	78903
65	5568	78797
66	5658	78792
67	5746	78762
68	5832	78692
69	5921	78677
70	6010	78647
71	6095	78567
72	6180	78485
73	6270	78466
74	6368	78548
75	6448	78405
76	6533	78320
77	6615	78192
78	6706	78187
79	6789	78082
80	6888	78152
81	6973	78071
82	7073	78144
83	7148	77952
84	7237	77910
85	7330	77903
86	7421	77883
87	7522	77955
88	7619	77997
89	7709	77951
90	7821	78130
91	7927	78236
92	8021	78230
93	8129	78350
94	8222	78333
95	8312	78275
96	8403	78234
97	8498	78219
98	8586	78145
99	8661	77954
100	8739	77786
101	8830	77742
102	8911	77611
103	9005	77585
104	9084	77432
105	9168	77326
106	9250	77205
107	9334	77098
108	9428	77071
109	9520	77025
110	9606	76937
111	9700	76909
112	9787	76824
113	9867	76690
114	9944	76527
115	10032	76456
116	10129	76449
117	10208	76305
118	10291	76194
119	10374	76077
120	10468	76044
121	10542	75871
122	10624	75755
123	10709	75655
124	10781	75469
125	10869	75395
126	10959	75335
127	11046	75251
128	11133	75175
129	11226	75133
130	11311	75035
131	11402	74981
132	11487	74886
133	11569	74767
134	11661	74723
135	11744	74611
136	11850	74650
137	11927	74500
138	12011	74399
139	12102	74342
140	12193	74283
141	12286	74235
142	12361	74081
143	12444	73977
144	12533	73903
145	12622	73832
146	12707	73740
147	12780	73572
148	12870	73510
149	12951	73391
150	13050	73375
151	13142	73320
152	13226	73219
153	13315	73146
154	13419	73158
155	13500	73039
156	13599	73022
157	13691	72964
158	13768	72823
159	13858	72759
160	13929	72589
161	14031	72583
162	14115	72481
163	14197	72372
164	14288	72308
165	14379	72241
166	14464	72149
167	14551	72063
168	14636	71969
169	14719	71866
170	14807	71785
171	14882	71644
172	14981	71615
173	15072	71552
174	15159	71466
175	15246	71381
176	15325	71257
177	15413	71178
178	15512	71151
179	15597	71054
180	15683	70964
181	15775	70905
182	15862	70816
183	15952	70744
184	16037	70652
185	16126	70574
186	16199	70430
187	16291	70367
188	16371	70248
189	16469	70213
190	16558	70134
191	16645	70050
192	16735	69977
193	16819	69879
194	16898	69761
195	16986	69679
196	17093	69673
197	17175	69568
198	17258	69467
199	17343	69374
200	17420	69247
201	17507	69162
202	17588	69053
203	17682	68996
204	17771	68917
205	17846	68787
206	17935	68710
207	18016	68600
208	18106	68526
209	18197	68456
210	18299	68427
211	18396	68380
212	18469	68241
213	18566	68191
214	18646	68082
215	18719	67946
216	18814	67889
217	18897	67787
218	18983	67698
219	19070	67614
220	19160	67539
221	19240	67426
222	19303	67260
223	19400	67208
224	19489	67128
225	19580	67057
226	19657	66938
227	19729	66802
228	19812	66705
229	19889	66587
230	19982	66520
231	20080	66471
232	20173	66408
233	20259	66320
234	20354	66260
235	20439	66167
236	20525	66078
237	20610	65989
238	20706	65932
239	20798	65862
240	20886	65779
241	20974	65698
242	21073	65648
243	21167	65584
244	21265	65531
245	21365	65485
246	21450	65394
247	21534	65297
248	21632	65246
249	21728	65186
250	21827	65133
251	21925	65079
252	22003	64965
253	22097	64900
254	22184	64814
255	22270	64724
256	22359	64642
257	22457	64586
258	22541	64492
259	22635	64423
260	22715	64317
261	22791	64200
262	22889	64143
263	22980	64066
264	23059	63956
265	23138	63847
266	23226	63763
267	23315	63683
268	23396	63580
269	23495	63525
270	23591	63461
271	23682	63385
272	23766	63289
273	23853	63203
274	23937	63107
275	24037	63056
276	24127	62976
277	24201	62854
278	24283	62753
279	24367	62660
280	24457	62579
281	24542	62487
282	24631	62404
283	24717	62315
284	24797	62210
285	24885	62126
286	24958	62004
287	25044	61916
288	25126	61817
289	25222	61752
290	25309	61664
291	25403	61594
292	25479	61480
293	25567	61395
294	25643	61282
295	25733	61202
296	25826	61131
297	25910	61038
298	25997	60949
299	26090	60878
300	26165	60762
301	26262	60699
302	26345	60603
303	26436	60525
304	26524	60441
305	26614	60361
306	26696	60262
307	26787	60185
308	26884	60120
309	26978	60049
310	27069	59970
311	27153	59877
312	27242	59794
313	27345	59741
314	27425	59640
315	27519	59566
316	27616	59501
317	27714	59438
318	27808	59365
319	27892	59270
320	27968	59161
321	28056	59075
322	28161	59026
323	28247	58936
324	28346	58872
325	28441	58801
326	28526	58710
327	28614	58625
328	28701	58536
329	28787	58446
330	28871	58352
331	28963	58276
332	29054	58196
333	29139	58105
334	29224	58011
335	29321	57945
336	29403	57847
337	29478	57736
338	29566	57650
339	29655	57566
340	29753	57500
341	29847	57425
342	29930	57331
343	30030	57267
344	30124	57192
345	30211	57105
346	30300	57020
347	30385	56929
348	30483	56861
349	30574	56781
350	30664	56698
351	30758	56624
352	30852	56548
353	30954	56486
354	31044	56404
355	31145	56340
356	31238	56264
357	31333	56190
358	31423	56107
359	31525	56045
360	31622	55974
361	31719	55903
362	31825	55847
363	31915	55763
364	32004	55678
365	32093	55592
366	32184	55511
367	32270	55420
368	32363	55342
369	32455	55262
370	32539	55167
371	32635	55094
372	32721	55004
373	32807	54913
374	32893	54823
375	32982	54736
376	33080	54666
377	33170	54581
378	33245	54473
379	33329	54380
380	33423	54301
381	33516	54222
382	33614	54151
383	33707	54072
384	33806	54003
385	33906	53934
386	33994	53846
387	34093	53775
388	34183	53691
389	34276	53611
390	34354	53508
391	34448	53430
392	34547	53359
393	34629	53262
394	34719	53177
395	34804	53086
396	34902	53013
397	34994	52931
398	35093	52859
399	35177	52766
400	35267	52682
401	35349	52584
402	35437	52496
403	35535	52423
404	35624	52337
405	35701	52233
406	35787	52141
407	35880	52062
408	35964	51968
409	36059	51891
410	36150	51806
411	36232	51710
412	36309	51606
413	36392	51512
414	36490	51438
415	36584	51359
416	36675	51275
417	36768	51193
418	36851	51100
419	36936	51007
420	37014	50906
421	37109	50827
422	37195	50737
423	37282	50648
424	37374	50565
425	37453	50465
426	37533	50366
427	37612	50267
428	37694	50171
429	37773	50071
430	37861	49983
431	37952	49901
432	38039	49811
433	38125	49720
434	38233	49660
435	38325	49577
436	38404	49477
437	38490	49387
438	38594	49319
439	38677	49225
440	38764	49137
441	38848	49043
442	38937	48957
443	39035	48882
444	39130	48802
445	39202	48695
446	39289	48606
447	39384	48526
448	39474	48442
449	39558	48349
450	39643	48257
451	39740	48181
452	39822	48085
453	39909	47996
454	40010	47924
455	40092	47829
456	40186	47748
457	40271	47657
458	40367	47579
459	40460	47496
460	40563	47426
461	40647	47334
462	40735	47245
463	40829	47164
464	40912	47071
465	40986	46967
466	41072	46877
467	41161	46790
468	41255	46709
469	41339	46617
470	41435	46537
471	41523	46450
472	41609	46359
473	41700	46275
474	41779	46177
475	41866	46088
476	41949	45994
477	42040	45910
478	42111	45804
479	42190	45706
480	42283	45623
481	42381	45546
482	42468	45458
483	42556	45370
484	42639	45276
485	42744	45207
486	42832	45119
487	42925	45036
488	43020	44956
489	43105	44864
490	43208	44792
491	43294	44702
492	43374	44606
493	43446	44501
494	43546	44426
495	43644	44348
496	43732	44260
497	43827	44179
498	43922	44098
499	44005	44005
500	44098	43922
501	44188	43836
502	44274	43746
503	44369	43665
504	44470	43589
505	44556	43499
506	44634	43401
507	44732	43323
508	44838	43253
509	44923	43162
510	45007	43070
511	45099	42985
512	45183	42893
513	45273	42807
514	45360	42718
515	45467	42647
516	45565	42568
517	45654	42481
518	45741	42392
519	45823	42298
520	45915	42213
521	46006	42128
522	46093	42039
523	46174	41945
524	46264	41858
525	46357	41774
526	46439	41680
527	46520	41586
528	46607	41497
529	46694	41408
530	46792	41329
531	46873	41234
532	46963	41148
533	47051	41059
534	47134	40967
535	47216	40873
536	47297	40780
537	47392	40697
538	47464	40596
539	47555	40510
540	47630	40410
541	47710	40316
542	47797	40227
543	47894	40147
544	47981	40057
545	48070	39970
546	48157	39882
547	48245	39794
548	48333	39705
549	48430	39624
550	48539	39553
551	48624	39463
552	48705	39369
553	48794	39281
554	48882	39194
555	48968	39104
556	49058	39017
557	49147	38930
558	49235	38842
559	49316	38748
560	49404	38660
561	49497	38576
562	49592	38493
563	49675	38401
564	49774	38322
565	49863	38234
566	49948	38143
567	50037	38056
568	50133	37974
569	50216	37882
570	50309	37798
571	50390	37704
