number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,,7.474115624759359,0.4357536897654929,rmse,0.0015675512866187191,0.06366356727688269,15,221,0.5722789138636392,FAIL
1,1173.931790280049,1.1512022187373891,0.3300744064290676,rmse,0.8735511665575837,0.029279986625702522,12,297,0.8024918981944043,COMPLETE
2,1221.5772258345808,0.027813453997174577,0.5874897155034424,rmse,0.0025878027927151302,0.01870706597134871,3,57,0.7080848554482884,COMPLETE
3,1176.7328625280966,5.312879127140188,0.5837198854137016,rmse,0.26229152878949996,0.02922926828485899,19,236,0.8002997883267083,COMPLETE
4,1179.0448013352905,1.3362784867529829,0.5433745143504394,rmse,7.162420812059604,0.02556404842986123,8,232,0.6313661180289057,COMPLETE
5,1194.3407541986644,0.0026065061784078646,0.6700001633325535,rmse,8.234250637224015,0.08719416231910707,13,258,0.7132754746090195,COMPLETE
6,1203.5450513069493,0.055663937349833666,0.7552702316983175,rmse,0.6915414084970867,0.017772535574255583,4,71,0.6568274354211749,COMPLETE
7,1275.8324221802372,0.5235573706853608,0.8870950477268118,rmse,0.0060415132862977035,0.0013074807466456335,24,40,0.8870971347437087,COMPLETE
8,1202.2462797671537,6.642866376537022,0.6935442746748968,rmse,0.10941753586304956,0.002667143465294732,9,26,0.4881297987396094,COMPLETE
9,1235.84164964466,0.044632022055676665,0.3844649961764941,rmse,0.05003093099843366,0.06316870828045328,20,4,0.8339353763995117,COMPLETE
10,1185.9644295297414,0.40127418819832644,0.8581284977440937,rmse,2.8623491514920083,0.006151029744942741,15,246,0.9012982990173979,COMPLETE
11,1180.715029011985,0.001225443668663059,0.3460690422622975,rmse,0.018844411558505546,0.006061330019600233,13,159,0.9920508301903521,COMPLETE
12,1179.9646460454492,8.772122395847989,0.4807345835638575,rmse,0.4039246604876527,0.039967615992288895,18,293,0.8027430066745344,COMPLETE
13,1189.058911220608,1.915243615902862,0.4563553187044732,rmse,0.6642727369969026,0.038106238961546905,25,185,0.5247551303507356,COMPLETE
14,1178.750815697688,2.4481494186131045,0.35495757405008266,rmse,0.1937608029721899,0.009424862236097866,19,299,0.7839011007682073,COMPLETE
15,1174.5777178808128,0.21675344413874864,0.7935417011461355,rmse,2.3290994373673115,0.01441108661929529,15,205,0.9515051438786943,COMPLETE
16,1179.5798361170523,0.2482649879025254,0.9830200149619803,rmse,1.8338398019310653,0.01196925734438041,10,114,0.9613076670444735,COMPLETE
17,1185.0474853092599,0.009216120798543151,0.7928512931337037,rmse,1.8756315645749642,0.004051478562997497,16,174,0.9108226027048992,COMPLETE
18,1181.1379709348982,0.12587272299925495,0.9451907606482037,rmse,1.2757827183828954,0.012949730884007658,11,204,0.5887816340165555,COMPLETE
19,1183.1043717306402,0.7686131544116361,0.7523649010843891,rmse,3.693202485551313,0.05704879771637965,7,124,0.40408409576640153,COMPLETE
20,1187.6159317656613,0.16977418419199025,0.83438763400134,rmse,0.035684418751368026,0.007407649173066458,12,274,0.7529797687035289,COMPLETE
21,1171.3982260345153,0.014407236416775576,0.4207527571614095,rmse,0.8372931203818452,0.017383667149054833,16,210,0.8641618340301136,COMPLETE
22,1171.29454208872,0.00992548874193978,0.3095298202714026,rmse,0.991534052839856,0.018750806799757172,16,210,0.8621440910181548,COMPLETE
23,1172.4811574149348,0.011446020793952481,0.30689775540760583,rmse,0.5820482157605052,0.023821289003172562,17,132,0.8486490083418499,COMPLETE
