number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1174.6525250941115,0.005407602233636262,0.8239217676358151,rmse,0.2541024525797526,0.0013082751656750284,0.008459384572198376,14,72,0.8130739141531282,COMPLETE
1,1198.6626352230628,0.710093035458389,0.6338966478434506,rmse,0.2681025121811262,0.44551901641700037,0.03354243121069017,19,34,0.4528283108640146,COMPLETE
2,1183.8837215833812,0.7276480634959891,0.7579902434421748,rmse,0.014168159453158812,3.809994590797713,0.07179856342568236,7,99,0.5285967982980616,COMPLETE
3,1195.369621845236,0.00937091174104537,0.8273243950467865,rmse,4.070142681339679,2.02703985789347,0.0614053026880884,4,98,0.4471263630427849,COMPLETE
4,1198.499386663916,4.307157996049049,0.6350891361721834,rmse,1.1560213083738573,0.002188792743069901,0.025592011315429625,4,59,0.6569555113703129,COMPLETE
5,1278.3143222552058,0.0061080792138802605,0.6858464438020633,rmse,0.0022326200568369993,0.0010929812387306347,0.0013244136136320302,21,124,0.9224589521585925,COMPLETE
6,1245.9821612240078,0.005423462388615769,0.3412990707800959,rmse,0.04681465998925337,0.027086330327700747,0.09984021149343515,20,159,0.4981159772163141,COMPLETE
7,1205.423828261021,4.355739393897837,0.4387105134376145,rmse,0.08864851112764575,0.001409835346318204,0.007425887721219182,6,142,0.6196008480851274,COMPLETE
8,1194.5381150285673,0.6642591177078093,0.9512180961338152,rmse,0.20757811800941328,0.32866656585495296,0.010627901132616253,7,211,0.5376787211643315,COMPLETE
9,1460.6581934224591,0.5206613201896892,0.49605653595090216,rmse,1.2353239426812186,0.11739355397553315,0.0010771781820490109,4,268,0.6564897401351676,COMPLETE
10,1184.8348353622507,0.001004556081522403,0.98523070882563,rmse,0.0012713669985079782,0.01260283525502091,0.0040368956115210694,13,6,0.8377560129044822,COMPLETE
11,1174.687047313851,0.05230423486711438,0.8099786630730296,rmse,0.012047696920055813,9.921159519244219,0.014427253641790752,11,78,0.798037850429073,COMPLETE
12,1176.8537086872132,0.04652375786437036,0.8376175041767306,rmse,0.013069260695713698,9.66613086867741,0.0076821641282109636,13,78,0.7860022522267902,COMPLETE
13,1175.737428178889,0.04880958942921231,0.8661513390916094,rmse,0.011703681696620574,0.015956986444360697,0.015427458543324687,16,190,0.9936889392517838,COMPLETE
14,1191.2822580732325,0.018759863951301435,0.721643303251901,rmse,0.03562066060020559,0.005844801748389374,0.003426204700472889,10,36,0.7715918160855999,COMPLETE
15,1213.9409269739688,0.0011671491114221759,0.9028984850180672,rmse,0.0052027355264762055,0.06934713166909552,0.0037304100124582267,25,3,0.8705865012371726,COMPLETE
16,1173.6353509846579,0.1654992700695967,0.7704148900595109,rmse,0.460928249740771,0.8470765331873205,0.019259690014380826,11,58,0.7414524241632722,COMPLETE
17,1181.1014155423793,0.23163683181531608,0.5563575325349989,rmse,0.6760002194567631,1.1505728375369202,0.029337288536266205,16,45,0.7244991616736397,COMPLETE
18,1220.946905303901,0.11690353622033789,0.7606347341711907,rmse,3.7140136895734814,0.3450636327007311,0.002158936027702271,10,291,0.7166153109889213,COMPLETE
19,1176.0037081570003,0.017065375900383345,0.9157708723380222,rmse,9.863493368067534,0.09116105809541039,0.019003515981877182,16,113,0.9069538925463144,COMPLETE
20,1188.3730619837988,1.8726030161397915,0.5953213308629358,rmse,0.3797830568667113,0.003606110603067455,0.005968540777007374,11,176,0.5910192393864745,COMPLETE
21,1174.4490566753298,0.13740944410833303,0.7905524372566213,rmse,0.11078092447562966,7.993035813265538,0.012257216608430398,11,71,0.8038798883801719,COMPLETE
22,1172.8254538432907,0.18139772963308742,0.7792881733225144,rmse,0.12896657946113968,1.00284618269457,0.011865586131696599,14,78,0.7501185088108395,COMPLETE
23,1178.6204631056396,0.20616424266919117,0.7299196043166474,rmse,0.0915824760421961,0.9944946102245429,0.040361919889872755,9,22,0.7343802464865151,COMPLETE
24,1172.3579655827064,0.2543642354480015,0.6801633207574695,rmse,0.047255175659355254,3.3514405234462545,0.012838734089408499,18,59,0.6882381436905093,COMPLETE
25,1175.085940319045,0.32434878405967615,0.6659103063148522,rmse,0.02852254172163903,2.636800813299637,0.020887364648154688,18,127,0.6858122281768427,COMPLETE
26,1175.0987639579473,0.07134617214682969,0.5628423904704601,rmse,0.8466682784235096,0.7030883693083835,0.005716606970883453,23,98,0.5973112234310386,COMPLETE
27,1198.3975329946747,1.706980180069437,0.720321839059622,rmse,0.12491059748444881,0.1699146089665905,0.045989226801316486,17,52,0.7548031483427411,COMPLETE
28,1173.9973731086577,1.6781133922751696,0.6819968707484523,rmse,0.4896376149266056,4.854172996213123,0.018872380934449668,14,19,0.6733124530680329,COMPLETE
29,1180.1169062564704,9.217468122642732,0.8770383958373145,rmse,0.055161101046145265,1.7109457782534356,0.01014138281025814,14,223,0.6369779465949781,COMPLETE
30,1184.6250828777775,0.3319652221091165,0.7830874889749426,rmse,0.19661863773999502,0.6139078172205417,0.02435409559708088,22,72,0.8445599916382551,COMPLETE
31,1171.5821680181261,1.460097475581469,0.682991751625186,rmse,0.4779135768517285,4.753607348654752,0.014098264698311352,13,29,0.6848914113173585,COMPLETE
32,1170.6735085606056,0.9884816449854953,0.6111085223094526,rmse,1.7792551829542294,4.774809893455466,0.014316037147835841,13,30,0.7020208551149706,COMPLETE
33,1173.8092374931452,1.0120560709761424,0.5907560322120153,rmse,2.638574526393147,3.7303562671348653,0.013200587995663945,18,25,0.7008592568640091,COMPLETE
34,1171.7264012266078,1.120437441604721,0.5025761157148927,rmse,2.0376262816763924,5.015555295948784,0.00863500189155121,15,35,0.5957160819096322,COMPLETE
35,1171.8965098998772,3.729856463236165,0.49243796221471214,rmse,1.8134890430456885,5.275655642650254,0.008479771776847667,15,37,0.5697134776043353,COMPLETE
36,1179.8268560335127,3.6570180896308933,0.4856288081764531,rmse,2.0676129869234057,4.949446371004994,0.005359533679909872,13,1,0.5559798569648419,COMPLETE
37,1173.2629211711837,5.940886868407258,0.3990318378204599,rmse,6.97576467141628,2.1725753443762588,0.00835572235123723,15,35,0.4930803085458222,COMPLETE
38,1195.3174686561697,2.5395128356206276,0.5120603797569474,rmse,1.4062611816372765,5.877391539021613,0.002450571408070972,12,43,0.41486838244496793,COMPLETE
39,1176.4564851376883,1.095245665853881,0.4395824563748444,rmse,4.792503189921999,1.632915107192852,0.006712022234015698,15,96,0.5702185159935489,COMPLETE
40,1183.6933673535484,8.369535855923225,0.6351823107346296,rmse,2.022233907174423,6.246474581182808,0.009433843163911793,8,18,0.5072336160166673,COMPLETE
41,1173.7681893392116,0.435390006199232,0.5330599555117022,rmse,1.0016134379668926,3.308250249159463,0.015309889135312338,19,57,0.6003686469879171,COMPLETE
42,1174.269407364728,0.9363827617570079,0.45789254716410865,rmse,0.28676498595890515,3.0174196850985586,0.004724608257437098,20,26,0.6326524413563652,COMPLETE
43,1171.6136005050548,2.9898155478644264,0.5976665743617129,rmse,3.1919945111919503,1.527635551767075,0.00887951907712574,17,42,0.6619724846154309,COMPLETE
44,1173.8870392978156,3.44628592321888,0.3303083516983718,rmse,2.962216904231011,1.4437671047488512,0.008878974060412286,15,16,0.6496551892165797,COMPLETE
45,1172.3439331707568,5.968658200734782,0.5960188785897587,rmse,5.464675250242719,6.558340229588698,0.0073377240642996,17,38,0.5359258852293305,COMPLETE
46,1174.3023480301406,2.290859089866604,0.3650643878587868,rmse,1.650468211904352,2.3081410353351566,0.009672578090199375,13,93,0.6112491429494459,COMPLETE
47,1185.8087229383345,0.7075731242937835,0.6222279599128255,rmse,0.7420987086691098,4.663299036219566,0.0028971149078600034,12,13,0.4666994867724164,COMPLETE
48,1172.5080769600836,1.4036002304917437,0.5435848809073672,rmse,3.4161442632534937,9.726464780338569,0.01612444872080863,17,66,0.569433524351215,COMPLETE
49,1175.1285788664645,3.074128361002095,0.48509443345466907,rmse,1.2316124103142616,0.0404230716828356,0.026401315985471522,15,86,0.6566244432411997,COMPLETE
50,1184.9108356915524,5.224229242638524,0.5734006733707097,rmse,7.925002570669124,0.22205637906148676,0.004589731438479152,12,112,0.703732664520605,COMPLETE
51,1173.4055143087942,5.629638150241541,0.6130752026287104,rmse,5.207456294310903,6.735994926843363,0.006398054195818209,17,40,0.5316374768827541,COMPLETE
52,1171.731574289776,2.5852757361930245,0.523886819082671,rmse,5.580699913505065,6.48794868242641,0.0084564953938477,16,33,0.5577768204320983,COMPLETE
53,1170.4737772728065,1.230795809852035,0.5174849748565589,rmse,2.487159270482105,4.135465980937047,0.010574501239103015,16,52,0.5750672450350401,COMPLETE
54,1171.9142298759664,0.5020101381121732,0.5208691431220773,rmse,2.3617738602929053,0.4782946896694712,0.011028717803954192,20,49,0.6260535585488315,COMPLETE
55,1179.1447120205105,1.2534877094082837,0.6494833483678303,rmse,4.150624551618285,2.4560292165758377,0.015508091032524624,16,9,0.5133848337969052,COMPLETE
56,1171.0400728592072,2.3075817253880593,0.45383278460869714,rmse,0.5844446458286643,1.2294964664642574,0.010999716119891777,14,30,0.6768411309437211,COMPLETE
57,1183.6285979171616,0.705355185084937,0.4077610479083037,rmse,0.6290047982344247,1.411550677285883,0.034036735790206774,14,29,0.678122471413179,COMPLETE
58,1174.8931686267592,1.9592578914929029,0.4484629044408554,rmse,1.0275037962081643,3.8658000855936048,0.011409822085018678,10,65,0.7186828566455221,COMPLETE
59,1171.6486980590103,0.002591018682063705,0.40681920522286624,rmse,0.2742228025232269,1.2013377430439058,0.02235405621247698,13,145,0.7716989856774016,COMPLETE
60,1194.064393200682,0.0019819601831842096,0.3084950587768772,rmse,0.2823563767308395,0.5280297457153011,0.02104995420902543,5,216,0.7855721650447665,COMPLETE
61,1171.6030870048667,0.008736948666181058,0.3960828073079097,rmse,0.40693198672452746,1.1504711960954874,0.018412916721262017,13,155,0.8231047453297277,COMPLETE
62,1171.6498121174905,0.0034363400286090075,0.39745102019893586,rmse,0.18456372764685378,1.0908355869912332,0.01814522492631198,13,154,0.816890748226234,COMPLETE
63,1174.1474314094855,0.009759502794471579,0.36989458442404155,rmse,0.3899735255577706,0.2855646042480361,0.013346979739504244,12,174,0.7552824116915011,COMPLETE
64,1171.5725917499942,0.03144290259338295,0.4176419539971656,rmse,0.5496766680378549,0.8746515930677233,0.0253899329041182,13,133,0.8826760930076447,COMPLETE
65,1176.9599993486197,0.017584930764928283,0.4264873810677371,rmse,0.6381913050117474,0.7760296008688132,0.017646749494480345,9,238,0.9330939156369993,COMPLETE
66,1173.1568955108808,0.026503007605469853,0.465770816885382,rmse,0.4745171156090372,1.946186889382729,0.034508005044407895,11,130,0.8885386492567046,COMPLETE
67,1185.1310222750947,0.036662258810523145,0.7119801927431793,rmse,1.2313253245423978,0.897894653156444,0.061254515382606414,14,170,0.9521919323272987,COMPLETE
68,1172.224137120887,0.08857914063111356,0.3706811068207504,rmse,0.15783017477640113,0.38426339421789346,0.028462328312936883,12,197,0.8899467258358043,COMPLETE
69,1180.3004303734745,0.008626965649767768,0.567531320187721,rmse,0.06806378233835886,1.9298809229923073,0.04433739706313763,14,120,0.8584340954341483,COMPLETE
70,1232.7981454189721,0.006670554129872234,0.46974842114280385,rmse,0.3625404870349303,0.6304307901881515,0.013380355037242381,3,166,0.9741672304550012,COMPLETE
71,1171.4854094140494,0.0030055578137288463,0.4220757487036887,rmse,0.2755305353727114,1.2303780244839708,0.020908037548660583,13,145,0.8226144078875485,COMPLETE
72,1171.7844621482939,0.0248363265392601,0.4334473603113263,rmse,0.5463322791151038,1.3569477003214363,0.023884469077597885,13,160,0.8347028959829048,COMPLETE
73,1174.8994122988117,0.003217365121492433,0.3414777462671953,rmse,0.8938554412197396,2.838303240021608,0.016887898443618123,10,137,0.6688233110810801,COMPLETE
74,1172.4460110419084,0.012012337437548506,0.3818540773724017,rmse,0.3426168823606171,4.125710208013161,0.01073152055894749,16,181,0.879228384849542,COMPLETE
75,1172.557897399161,0.006087493928617756,0.41714034575295483,rmse,1.5077998389279805,2.8825194919715273,0.014242570299864152,11,108,0.8256742233214415,COMPLETE
76,1172.77302111413,0.0012609792038374686,0.665929064334512,rmse,0.22732309101736747,1.708916677052297,0.020734804308271487,13,49,0.8564563568436955,COMPLETE
77,1172.1713349942017,0.8912800258052296,0.5504533148722793,rmse,0.7740161001863409,8.26887305321998,0.012159348972832475,14,150,0.8009258321514953,COMPLETE
78,1178.6621216507353,1.4951152391188618,0.5852754519588296,rmse,0.0033363290312472,0.8910998727611344,0.007618366888325817,15,194,0.7062004562951705,COMPLETE
79,1174.4861754222,0.0040857424419682275,0.7049191450313448,rmse,2.8803644632574423,0.1369683967481746,0.029178528299446,11,82,0.9134500200704139,COMPLETE
80,1171.3261967456244,0.0018580205038872025,0.4758363334377793,rmse,0.14010332723731078,2.1805194336844935,0.014524172598429752,19,138,0.7294267099988186,COMPLETE
81,1171.4206082095386,0.0015710759208749222,0.4484123548203989,rmse,0.09833610516534627,2.386946746520553,0.014403699552691756,19,137,0.7399855348815173,COMPLETE
82,1172.0055376437988,0.0018189706793883917,0.48503423798512846,rmse,0.1569804095985651,2.3109517627913143,0.014589762238437857,21,136,0.7392932783157296,COMPLETE
83,1171.83058826277,0.0012924020282927215,0.44995225647049353,rmse,0.07839423335403505,3.784770838931655,0.0185702062143666,18,143,0.7780065152301556,COMPLETE
84,1177.315238133732,0.0046948252893582905,0.46902808673663526,rmse,0.12488877602697991,1.1319968346479508,0.0256316652648585,19,120,0.7305344395562507,COMPLETE
