number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1168.4861415191126,3.5834542369999487,0.9389865515557589,rmse,0.004402183023460468,0.005452704064988862,14,135,0.8004835501820113,COMPLETE
1,1142.704953955072,0.14209940128258186,0.36923013172379254,rmse,8.26798732230595,0.02591782323241647,18,75,0.7140542020440318,COMPLETE
2,1171.4493331600336,0.04254603221610633,0.309647752797737,rmse,0.27856743508359233,0.015464801854268436,4,209,0.5247174396998935,COMPLETE
3,2869.6662346003286,0.002073798654410982,0.48377035624831577,rmse,4.948715461906949,0.0013233214470503496,16,152,0.9972110566211202,COMPLETE
4,1141.258042650034,0.05182759017822717,0.9760067927184675,rmse,0.3340015772516422,0.009004689897521559,24,113,0.9803960518007091,COMPLETE
5,1145.2182841588658,2.0888709805499235,0.3557849427690463,rmse,0.011890425410721299,0.04431617940415299,24,299,0.913837543533608,COMPLETE
6,1158.671765558019,0.014340409764206481,0.37348572084889875,rmse,0.09094532227530829,0.006021148278605007,22,238,0.5625493560696251,COMPLETE
7,1177.735612492781,8.483505141934206,0.8201617147132367,rmse,0.024254709740388132,0.007864391110860467,6,203,0.44797604627280985,COMPLETE
8,1152.262122800479,8.894687764509685,0.7330781074859749,rmse,2.6283578056975037,0.008200577305649503,16,218,0.9150525751942131,COMPLETE
9,1147.7046821816784,2.3326776542629672,0.6794906346037415,rmse,5.3805615184820725,0.03425849253345941,24,187,0.5594981155824161,COMPLETE
10,2240.222082507747,0.260449042423926,0.9674202527746211,rmse,0.5872215196877157,0.0020040182162206913,11,22,0.761011738281006,COMPLETE
11,1149.8438890425832,0.2699270470349026,0.5903995928954096,rmse,1.035839272604096,0.02269624281749144,20,49,0.6716140357087295,COMPLETE
12,1191.2027201202486,0.03413970438695537,0.558236853337184,rmse,0.09322739692209152,0.06773909157488213,19,84,0.666968210761721,COMPLETE
13,1412.608712179685,0.005798887666881618,0.8509975991735019,rmse,8.726022859695195,0.003265294149407511,25,97,0.8337874022642585,COMPLETE
14,1166.2807662190387,0.18802380180775058,0.4681958260099527,rmse,1.216945587735716,0.016863551408145598,19,1,0.9930526263561793,COMPLETE
15,1178.3498756931817,0.572906629742229,0.7862120017177767,rmse,0.001080913696424509,0.09041050174652138,11,85,0.7011929304432637,COMPLETE
16,1138.637937639695,0.05781757123550146,0.8888389844937887,rmse,0.35074894473917545,0.013710001150837278,22,129,0.8546268225445194,COMPLETE
17,1138.9523657898371,0.04673977930187819,0.9029065213746675,rmse,0.21915390920149086,0.012840918602398832,22,136,0.8911059324678169,COMPLETE
18,1240.8160058919411,0.007992545662440615,0.8852218299079289,rmse,0.04559048499146065,0.003856863237688154,22,166,0.8736348216826884,COMPLETE
19,1137.0181214408526,0.002006447614786318,0.7466487291335141,rmse,0.22855834514290935,0.014234809093127094,12,129,0.8908924613865677,COMPLETE
20,1139.0208513832508,0.0014148512992491792,0.7420287967292176,rmse,1.8428561014778666,0.04841129988513287,9,266,0.7936568295546139,COMPLETE
21,1137.907763758716,0.018560035607876,0.8976426851789738,rmse,0.20475956658158617,0.01387328402388901,13,122,0.9165534664649582,COMPLETE
22,1137.175559256083,0.003228448446384221,0.7826070609944901,rmse,0.18864794212883043,0.013442159417450304,13,116,0.9371326643416785,COMPLETE
23,1139.557076721551,0.0034365831005029974,0.655928000456535,rmse,0.13703595044346603,0.020608581002933352,13,51,0.9311203295037475,COMPLETE
24,1141.8746289858636,0.010785600269365822,0.7454280622110381,rmse,0.026643930806433607,0.012063271387442598,9,161,0.944555430053599,COMPLETE
25,1140.3092499495444,0.01891164951473518,0.8084576210853883,rmse,0.6332556923899294,0.03218925359827874,12,111,0.8272274568541818,COMPLETE
26,1174.2953965521756,0.001137291148099988,0.6992601487324004,rmse,0.05854822812578985,0.005186982781775159,9,179,0.7518230204395588,COMPLETE
27,1137.7238265223689,0.0035831626447754427,0.5926261942212068,rmse,0.17807826303562993,0.010231830235576351,16,59,0.9535469730098926,COMPLETE
28,1327.3147434827063,0.0037898590590212493,0.6059663154518401,rmse,0.011084692923187837,0.0033991563603005975,16,54,0.9670589275527958,COMPLETE
29,1144.6490811927467,0.002822892026822533,0.5258028136883435,rmse,0.6451209531194612,0.006464025828599464,15,62,0.7853601436650011,COMPLETE
30,1139.4102458047712,0.0010096456920868596,0.6307765571161852,rmse,0.13694346935030732,0.010280921059848723,14,30,0.8665346156814825,COMPLETE
31,1137.1554056664559,0.005761146489916254,0.7858706988429777,rmse,0.15473721123961515,0.01841960799736933,13,134,0.9454371369646465,COMPLETE
