number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1163.7504624015764,0.004872771293599976,0.507589783606154,rmse,0.004489958490145101,0.0023720308062729185,0.04053497646932999,3,136,0.7946853335773532,COMPLETE
1,1142.0081375796374,5.069153836491789,0.5638360663500075,rmse,0.03289216892760039,0.01410306211081276,0.017040376491321285,8,244,0.8717974285480855,COMPLETE
2,1188.9847830097292,2.073778298429203,0.4927362989855315,rmse,8.479396055942965,0.062393668213206584,0.006109013827780891,19,147,0.4634469788017078,COMPLETE
3,1318.0247553319623,0.01502874668333996,0.7641542783937979,rmse,1.1763390599272072,0.02630508004892735,0.0013822984318608662,13,145,0.8209770457975805,COMPLETE
4,1156.8526532121332,0.3407991928660478,0.448979838605624,rmse,3.6032750837875636,0.5365445147281612,0.02073680841692298,7,252,0.8708241606429994,COMPLETE
5,1146.8249710965,0.002892861023999182,0.3543402018221636,rmse,0.0479903956060171,0.09627277184126955,0.03192552204978647,23,186,0.5478339851126468,COMPLETE
6,1139.4602433107686,0.025157643116924193,0.490851063808454,rmse,0.06008772315858442,0.5306629411679686,0.013810624388669037,23,82,0.8117019091813158,COMPLETE
7,1316.4130977145064,1.4270048593471043,0.9559057203428121,rmse,0.003367506994529679,0.029416158908399433,0.0035412509781535457,3,291,0.6338250213469956,COMPLETE
8,1237.5897801749743,0.030455570174336206,0.596653771800342,rmse,2.3582962166938937,0.060091007000492094,0.0023729403225913,21,250,0.5030270796750405,COMPLETE
9,1319.7812705023518,4.871841455626424,0.4914663821811549,rmse,5.2584124330120865,3.8388300708268654,0.001611854116143923,19,222,0.961964002556162,COMPLETE
10,1177.8640486486515,0.13592360995271913,0.7394117188707985,rmse,0.2243101785166998,9.66451323966506,0.09716749033313869,15,38,0.6948398786989999,COMPLETE
11,1137.7927626515477,0.37231726803774406,0.3114111898005508,rmse,0.031294823235874875,0.002125768873321559,0.012563642521031978,11,65,0.9591966493893767,COMPLETE
12,1143.2340908592726,0.2437253239633273,0.3068812570477245,rmse,0.012091597170644128,0.5999079069713255,0.008365231249209659,25,65,0.9999165474131685,COMPLETE
13,1135.9095339185922,0.02879628392093095,0.3817207193079562,rmse,0.21943781659124278,0.002881344596585442,0.013902651342430107,13,86,0.9239366267796687,COMPLETE
14,1153.0088440920465,0.5137323704967198,0.3721425331751603,rmse,0.37423957259731044,0.0010328087294063208,0.006214158745401476,14,1,0.9243320014074663,COMPLETE
15,1141.0102874542401,0.001227334449632591,0.3961636118524761,rmse,0.399609319073816,0.005296892080622789,0.05455844742893406,10,105,0.7374131914429288,COMPLETE
