number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1144.0150639983096,0.005103672046579768,0.8816551515719487,rmse,0.001001444674328424,0.0034786302507258454,0.016657102422345835,7,4,0.9683078072692165,COMPLETE
1,1151.4420265294032,0.31520725636558194,0.8290654785938393,rmse,0.23031580541262303,0.43088587293802455,0.08975249393321974,8,234,0.6552881393206774,COMPLETE
2,1136.993283492262,7.658246014014613,0.3852068486763926,rmse,0.2188138772979275,0.020469807377362932,0.0332865720987568,12,228,0.8098704220008126,COMPLETE
3,1139.27662461661,0.04227377140274932,0.7499526963509903,rmse,0.10967111542548509,0.0015927360775113046,0.02851497306903533,8,291,0.9770108393485688,COMPLETE
4,1182.5934442039559,0.14410751826017645,0.8589760707159598,rmse,0.059217515680483813,3.0710651376142346,0.0036234343418995265,21,225,0.42995960499814817,COMPLETE
5,1138.0516099857005,8.110547693886355,0.7019219567102247,rmse,0.0012638343783603306,6.012945400864556,0.015459818511635142,18,210,0.9549344791453327,COMPLETE
6,1190.795883875949,8.665740634465296,0.38441308188351186,rmse,0.7915897191719962,0.7478569180357688,0.004229617553649373,20,290,0.554288226113129,COMPLETE
7,1157.4317787297737,0.04319337745669329,0.5936311798476961,rmse,0.0035095890036384476,0.005307678428536489,0.004800121018217078,25,233,0.7118440202195249,COMPLETE
8,1147.4553279352524,5.6667138080405905,0.7680538843666466,rmse,0.0010539515932368744,0.19161735115900536,0.008426358118043493,13,118,0.4516482063359308,COMPLETE
9,1154.309275338423,0.1784858874929435,0.6066654488195716,rmse,1.2020966172087741,0.5778461692232841,0.011857477359903437,6,149,0.5868402816536158,COMPLETE
10,1444.731508240648,0.9821612847222684,0.3527675686254114,rmse,8.208605866548664,0.0242274819652503,0.001019045827909664,13,75,0.80531782515984,COMPLETE
11,1150.994396753087,1.6952984177937263,0.5015436496684319,rmse,0.014491095032723465,7.8078987812685865,0.04710541363972488,17,193,0.8495892810647496,COMPLETE
12,1142.6429288692404,1.9298536121950924,0.9983950091232408,rmse,0.027984718353775074,0.02260884561211227,0.027547972145147752,15,187,0.8609089218354714,COMPLETE
13,1148.0219669300725,0.0018877604878423727,0.47785068938328895,rmse,0.008368765231268742,0.04357625059646855,0.07070471553888595,10,178,0.7702768525222292,COMPLETE
14,1173.659732909433,9.421383669212178,0.6845481736360717,rmse,0.3355405529414309,0.1233434040528772,0.026809425694798137,3,254,0.9159898869586418,COMPLETE
15,1153.224318826732,0.9086579189045193,0.5200254691003128,rmse,3.1356370833449376,0.008249657866016807,0.04774249011246327,17,129,0.9009389863662269,COMPLETE
16,1141.4718272280616,2.817209476281949,0.4201725524730378,rmse,0.003639294888279474,1.9887937062634018,0.00831317673739336,21,71,0.7545610467260939,COMPLETE
17,1288.353648596582,0.3852649262298147,0.685594053315809,rmse,0.09345521883022807,0.0886402774898901,0.0016528936108551578,12,254,0.9988050974291153,COMPLETE
18,1136.2274031843926,0.008521002792266051,0.3070068404391538,rmse,0.028957784076881467,0.012134626278551355,0.020268277948049557,17,204,0.9088676625310911,COMPLETE
19,1153.0160059140128,0.012750154024188996,0.3014593967949345,rmse,0.028742353224537928,0.012852106507769367,0.03980065623577068,25,165,0.824647337510131,COMPLETE
20,1140.072851785408,0.010854727501099544,0.3049908738630095,rmse,0.2858487747068728,0.0012301328438612002,0.018618568899571145,11,264,0.6232819992063748,COMPLETE
21,1136.2571589961108,0.04955187592685225,0.42181976141546706,rmse,0.00395382829531807,0.04397586726871942,0.014422862982682243,16,211,0.9172758243223906,COMPLETE
22,1137.8598215976072,0.05067990081164504,0.43708041074064885,rmse,0.00623337185410081,0.04839018953355941,0.010945522807850072,15,206,0.8993300508881642,COMPLETE
23,1140.2133128807554,0.018621521909164614,0.36211275048926445,rmse,0.029079820006323913,0.01497836685182826,0.02255485025341725,19,143,0.7769130483570001,COMPLETE
24,1145.9645896765755,0.0010979987832518496,0.5607486029162431,rmse,0.014969822468501818,0.04882600856729744,0.006826704668924421,16,272,0.8805775602218446,COMPLETE
25,1145.3358045998707,0.0036109781319837095,0.44919359765832106,rmse,0.058910305749209774,0.0031587849956116088,0.0351275927659717,23,219,0.9262257801818253,COMPLETE
26,1160.4761340791874,0.024403827323507047,0.3975002904488168,rmse,0.002770920144335504,0.2607735246227449,0.07052052995334515,14,183,0.7162598592576206,COMPLETE
27,1144.4915939905857,0.005919947422479519,0.34467350348069753,rmse,1.1954510067894055,0.00904580543045867,0.014488441669806385,10,242,0.8247915353820559,COMPLETE
28,1136.7871615255704,0.0650088414764851,0.5326323836017964,rmse,0.1373630438416078,0.025955174101338126,0.021861649395028965,18,205,0.9390637206701609,COMPLETE
29,1163.717528821663,0.08589322958279626,0.5310533062047065,rmse,0.010552638235399875,0.0032535740409069575,0.020566351311847413,22,15,0.952841631521008,COMPLETE
30,1199.5248056852824,0.005408580206114731,0.6261539822737447,rmse,0.0018780835033620489,0.03931890012479197,0.0026160063533166556,19,165,0.9511695478510159,COMPLETE
31,1136.1834783971913,0.08222648912836045,0.45805459367584916,rmse,0.1547388056120569,0.088505455963978,0.017608801201894463,17,214,0.8624044758946173,COMPLETE
32,1136.1302332972798,0.09762686885516626,0.46931783079799116,rmse,0.12106538816392065,0.09839299784276692,0.014281277334154971,17,196,0.9967302601939425,COMPLETE
33,1139.288854332605,0.24940492789226823,0.44914199674811284,rmse,0.5727725402728145,0.10591466369357692,0.01337380526368608,16,171,0.9955701756645915,COMPLETE
34,1139.5564058956993,0.4365346965737787,0.4737204677191079,rmse,0.054933679002095503,0.22390524312390572,0.00902575864331533,15,198,0.8682169247022781,COMPLETE
35,1151.1791005892849,0.026760089384885683,0.33122117560164976,rmse,0.17072353209744376,0.07489828497217238,0.005967638011154718,17,238,0.9748590548033947,COMPLETE
36,1136.6648478380635,0.10894295833544693,0.40474475463266496,rmse,0.08235793529013387,1.3140077136008257,0.017972604775181967,20,220,0.908661047166187,COMPLETE
