number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1243.0181785418317,0.024560842812459877,0.43094636574376,rmse,2.2973076410069324,1.6918767746577281,0.0017175225790907445,15,98,0.898109387109308,COMPLETE
1,1163.7253160725004,0.450499954361412,0.6294481945575501,rmse,0.22376324635908174,0.44552807019182783,0.004066264702138566,9,69,0.7616490566120052,COMPLETE
2,1164.3844588505747,0.03576148787803576,0.6025129965285796,rmse,0.027853562806875808,0.0029787504373599196,0.0891527761567952,10,118,0.9659939322336624,COMPLETE
3,1141.1856466216418,0.2293249615349174,0.8630835339827068,rmse,2.2482181445561182,0.013371510232473821,0.019630977114297832,23,293,0.863903443690647,COMPLETE
4,1143.8854550781095,0.032163986486387165,0.9391770420138419,rmse,0.006129372711566398,0.01326368727561824,0.03777790357198454,5,4,0.6432768544545029,COMPLETE
5,1148.8912354941049,0.03874412077069075,0.40572919606715574,rmse,4.604733580200269,0.8003428758100076,0.02382028684550284,6,222,0.8146756675048472,COMPLETE
6,1146.2978307309072,0.5373139278247954,0.30718069903986256,rmse,6.492148936480826,8.115651264029307,0.01903172543434921,16,1,0.6470080574113862,COMPLETE
7,1139.7280259371653,1.5967278493946824,0.7693966102071637,rmse,0.0013164748912176652,2.113918111767417,0.008295220779938765,18,183,0.831304525893463,COMPLETE
8,1171.634198310369,0.005621096538256675,0.4563628909794173,rmse,0.03991324844275857,2.3317444482641485,0.005834640433509269,6,28,0.49417820383462985,COMPLETE
9,1441.6661795579143,0.006999098744827365,0.6536511025790719,rmse,1.1006797018161483,0.0030483816069529356,0.001371511655510355,3,90,0.4910007445202545,COMPLETE
10,1142.1574590881785,7.037973241344183,0.7843220302408903,rmse,0.005647288266715423,0.11959250463171554,0.008136048197254138,21,187,0.951024495338926,COMPLETE
11,1142.0354351675312,0.0011064704847641167,0.9285069755489325,rmse,0.001740594479822937,0.04332499086518857,0.012744492711981597,25,282,0.8441418154888459,COMPLETE
12,1139.553661755256,0.47649082450967434,0.8003955401295771,rmse,0.5754079437583021,0.17198728072529215,0.010169717351073658,21,282,0.995585129706609,COMPLETE
13,1153.237462542555,1.726626840177367,0.7765917676899405,rmse,0.2335580276080809,0.21970613234769382,0.003961956927432948,19,222,0.9677839572862359,COMPLETE
14,1143.3850974299585,1.816684870459202,0.9822820114584114,rmse,0.0011341083995263063,8.49787768502498,0.009625433964322014,18,150,0.7671928491154257,COMPLETE
15,1178.0721050430525,9.898853318838094,0.7702209685609542,rmse,0.4544716205163494,0.24251809208132044,0.003043253416468803,12,250,0.9979004514793582,COMPLETE
16,1142.8157210258826,0.12960707294361812,0.8475949971216851,rmse,0.07918506528498609,0.7324902762937054,0.00805865530370582,20,173,0.8907998295493387,COMPLETE
17,1183.3574265899251,1.3218745636965907,0.701416302948405,rmse,0.7306895616643581,0.07274255510169925,0.0024891710864195153,17,251,0.9072262881739589,COMPLETE
18,1142.3612000229425,0.6744068485364133,0.7110103421979044,rmse,0.024072869458830724,2.606027636135568,0.005558774121626905,22,209,0.8002567351298594,COMPLETE
19,1140.0762864387707,4.548359804975939,0.8830693257872415,rmse,0.20174067666076642,0.34002285420533146,0.013282426954235678,13,137,0.929758495752931,COMPLETE
20,1198.709034313528,0.21804080793880987,0.8191056486689945,rmse,0.08198363927331345,0.7944902005798039,0.0021232600352970414,24,259,0.9924087126412883,COMPLETE
21,1140.0204828899984,3.5414482271273524,0.8824802939218944,rmse,0.24791931803798972,0.2679734965841279,0.012678171423959939,13,149,0.9200724883569581,COMPLETE
22,1316.4208726640686,3.7379078838313573,0.9946672151202931,rmse,0.5908376380873752,0.13282330844761878,0.0011193985301097458,14,175,0.910711553490833,COMPLETE
23,1144.8002402567488,2.2732238545821986,0.8978763855805629,rmse,0.13488546217272818,1.3181355761420017,0.00642710246139883,11,203,0.8622945818427269,COMPLETE
24,1145.7793529968778,0.9773345035884474,0.8474143934128678,rmse,0.36871762382991896,0.32890525246734653,0.012329583302082097,18,134,0.9998012467711476,COMPLETE
25,1150.2381085538261,2.9686205432334383,0.8076874260824239,rmse,1.214852535155173,0.07271904903523141,0.009745038274147019,20,56,0.9374119097014073,COMPLETE
26,1152.6237546595032,0.9222076751553362,0.7268206594159473,rmse,0.05117133757711429,3.440687592806824,0.004044083575437615,16,160,0.9372131903393912,COMPLETE
27,1143.4339382809367,4.376512570115802,0.9017586197689439,rmse,0.10437344703003416,0.5589851268183291,0.006232686601410264,14,269,0.8677753726446539,COMPLETE
28,1143.63771908463,0.3634256074731434,0.820900927796647,rmse,0.017996836129370343,1.192714275621672,0.017046016916744785,22,234,0.8242711136546077,COMPLETE
29,1146.2144065433567,1.1630011334189692,0.9406333720377201,rmse,2.052140840376646,4.081620477428074,0.030629040101151302,15,111,0.8945031852347727,COMPLETE
30,1147.383303472452,2.234540521184979,0.7466245011269647,rmse,0.3457972808382656,1.628074034321089,0.00776961823821415,18,73,0.9017955994621815,COMPLETE
31,1139.6533462917912,6.160273283137417,0.8756585487062015,rmse,0.16036540883344205,0.3935215473522791,0.013680749658891912,13,140,0.9303488073402703,COMPLETE
32,1138.7861479533983,6.952858237307905,0.8522198254234987,rmse,0.14620201832708973,0.4780258036294272,0.012349077318025897,9,190,0.9464880449759866,COMPLETE
33,1138.8714748074563,9.064188534656052,0.8182470933722983,rmse,0.13870697750949879,0.43482168478523053,0.014761975705466,8,196,0.9629124479451157,COMPLETE
34,1137.216633947828,7.7458520840767235,0.8296887025140044,rmse,0.20621952339445804,0.44880148439471546,0.015963639893079154,9,297,0.9552416266138686,COMPLETE
35,1137.3338742497497,9.58049461863103,0.8171989900082797,rmse,0.13738546258144682,0.5569104807974746,0.040559502239225644,8,297,0.9749243702718497,COMPLETE
36,1137.6190919382698,9.886747920655885,0.8387128730052982,rmse,0.12453824197081026,0.5125216843322977,0.04224011075558621,8,296,0.9599787732287334,COMPLETE
