number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
0,0.8667166666666667,3.5661089668557953,0.33699048774008183,logloss,0.11066254228784372,0.08094053740161382,17,289,0.40089357480943455,gpu_hist,COMPLETE
1,0.8857166666666667,0.003674822893957803,0.47038723537435434,logloss,0.004926263237024503,0.08782406943129087,13,294,0.7593162373432532,gpu_hist,COMPLETE
2,0.8871,0.732165045818081,0.9571750958347647,logloss,0.001125324438267574,0.04588018228123344,9,286,0.9479767904629464,gpu_hist,COMPLETE
3,0.88085,0.0973288349852296,0.3574655810762906,logloss,1.2062996197800522,0.004286254608126841,17,38,0.671189986120044,gpu_hist,COMPLETE
4,0.8662,0.008396866327037893,0.5737456229253942,logloss,0.2026152717193832,0.00619971453219185,9,205,0.9326613747841973,gpu_hist,COMPLETE
5,0.8785833333333334,0.4393009253918123,0.9269727821685145,logloss,0.10005725189846237,0.00302380859122125,13,30,0.9978717811207232,gpu_hist,COMPLETE
6,0.9084833333333333,0.058915246150915764,0.9255057877338104,logloss,0.0020404130225519473,0.09726826777826092,11,3,0.530539669859351,gpu_hist,COMPLETE
7,0.8878833333333334,0.004996064063457087,0.7724045419661776,logloss,0.0027322742445952974,0.056463743227269526,13,229,0.7215468549740307,gpu_hist,COMPLETE
8,0.8740166666666667,1.1929058775569477,0.4613779197903519,logloss,0.0014430310274647627,0.008741970561507838,11,173,0.8036066588726452,gpu_hist,COMPLETE
9,0.8999833333333334,4.063835162075031,0.4455564910603634,logloss,0.001599212348763449,0.03952882235269836,13,78,0.6816657331737463,gpu_hist,COMPLETE
10,0.8008,0.06636071555401969,0.757264229500718,logloss,0.014281713943070429,0.0014851474440959803,3,107,0.4712930956082511,gpu_hist,COMPLETE
11,0.8914666666666666,9.259881417023688,0.6727679846832946,logloss,0.016951527752031438,0.027331923012778186,20,90,0.5891362319604005,gpu_hist,COMPLETE
12,0.9057333333333333,0.035347044626687904,0.8350191010329084,logloss,0.010385187061750675,0.01828134362370032,11,2,0.5735973980977219,gpu_hist,COMPLETE
13,0.9048333333333334,0.0290303818464665,0.855037198628094,logloss,0.01573074436379227,0.016077057325115874,11,2,0.5488148869379356,gpu_hist,COMPLETE
