iter	Passed	Remaining
0	102	102283
1	134	66993
2	163	54500
3	189	47148
4	213	42499
5	239	39709
6	263	37328
7	286	35549
8	309	34081
9	334	33145
10	356	32033
11	381	31417
12	407	30918
13	431	30421
14	456	30009
15	482	29646
16	507	29353
17	534	29182
18	559	28870
19	586	28714
20	611	28494
21	637	28325
22	665	28261
23	692	28173
24	718	28023
25	743	27864
26	771	27793
27	798	27721
28	826	27676
29	853	27608
30	883	27619
31	909	27518
32	936	27428
33	964	27391
34	991	27344
35	1017	27246
36	1045	27205
37	1069	27084
38	1096	27027
39	1125	27023
40	1152	26947
41	1178	26874
42	1203	26785
43	1232	26776
44	1257	26681
45	1282	26592
46	1308	26538
47	1338	26541
48	1365	26508
49	1391	26440
50	1416	26362
51	1441	26272
52	1465	26190
53	1488	26076
54	1513	26004
55	1538	25928
56	1562	25848
57	1589	25818
58	1615	25766
59	1642	25730
60	1670	25719
61	1694	25639
62	1721	25599
63	1743	25497
64	1766	25409
65	1790	25338
66	1816	25296
67	1844	25274
68	1870	25231
69	1894	25173
70	1919	25112
71	1952	25164
72	1976	25096
73	2000	25036
74	2025	24983
75	2051	24936
76	2076	24885
77	2102	24857
78	2128	24817
79	2152	24754
80	2175	24686
81	2200	24631
82	2227	24610
83	2252	24564
84	2279	24536
85	2308	24529
86	2330	24462
87	2356	24425
88	2380	24362
89	2402	24293
90	2427	24248
91	2454	24220
92	2479	24185
93	2505	24153
94	2529	24092
95	2552	24039
96	2578	24002
97	2601	23945
98	2627	23914
99	2653	23883
100	2677	23831
101	2700	23776
102	2723	23721
103	2747	23668
104	2771	23621
105	2796	23582
106	2823	23560
107	2846	23514
108	2875	23506
109	2902	23486
110	2930	23472
111	2956	23439
112	2980	23394
113	3008	23382
114	3030	23324
115	3056	23292
116	3080	23250
117	3110	23248
118	3136	23221
119	3161	23183
120	3186	23148
121	3213	23125
122	3236	23074
123	3260	23034
124	3283	22981
125	3314	22990
126	3338	22951
127	3362	22905
128	3386	22864
129	3410	22824
130	3440	22826
131	3469	22814
132	3493	22775
133	3515	22718
134	3542	22699
135	3567	22663
136	3593	22633
137	3615	22582
138	3640	22550
139	3677	22587
140	3707	22587
141	3734	22563
142	3756	22513
143	3780	22472
144	3802	22419
145	3827	22387
146	3856	22376
147	3880	22338
148	3903	22293
149	3927	22256
150	3953	22226
151	3977	22187
152	4001	22151
153	4024	22107
154	4048	22068
155	4072	22030
156	4096	21994
157	4119	21951
158	4143	21918
159	4169	21889
160	4193	21853
161	4218	21823
162	4244	21796
163	4268	21759
164	4292	21723
165	4316	21685
166	4343	21665
167	4366	21625
168	4391	21592
169	4416	21561
170	4440	21528
171	4464	21490
172	4488	21454
173	4512	21423
174	4536	21387
175	4561	21353
176	4587	21331
177	4611	21298
178	4637	21269
179	4665	21251
180	4688	21214
181	4712	21178
182	4738	21154
183	4761	21118
184	4786	21088
185	4812	21059
186	4835	21024
187	4860	20993
188	4887	20974
189	4910	20936
190	4934	20901
191	4957	20864
192	4981	20830
193	5008	20807
194	5031	20772
195	5057	20745
196	5081	20714
197	5106	20682
198	5130	20650
199	5154	20617
200	5177	20582
201	5201	20550
202	5225	20513
203	5248	20478
204	5274	20453
205	5298	20423
206	5323	20394
207	5349	20369
208	5376	20349
209	5403	20327
210	5433	20317
211	5458	20289
212	5482	20256
213	5507	20227
214	5530	20191
215	5553	20155
216	5579	20132
217	5606	20110
218	5629	20074
219	5654	20049
220	5681	20027
221	5705	19995
222	5730	19968
223	5756	19941
224	5781	19913
225	5805	19883
226	5831	19859
227	5854	19821
228	5884	19812
229	5907	19777
230	5930	19742
231	5963	19742
232	5991	19724
233	6017	19699
234	6045	19679
235	6072	19657
236	6097	19630
237	6125	19612
238	6155	19600
239	6180	19572
240	6203	19537
241	6226	19502
242	6249	19468
243	6278	19454
244	6304	19426
245	6328	19397
246	6351	19362
247	6375	19333
248	6401	19306
249	6429	19289
250	6454	19261
251	6478	19229
252	6502	19199
253	6526	19168
254	6551	19139
255	6579	19120
256	6607	19102
257	6632	19074
258	6655	19041
259	6679	19011
260	6706	18987
261	6731	18960
262	6756	18933
263	6779	18901
264	6808	18882
265	6836	18865
266	6863	18841
267	6886	18809
268	6911	18781
269	6937	18756
270	6962	18729
271	6989	18705
272	7016	18685
273	7041	18656
274	7065	18628
275	7093	18606
276	7117	18576
277	7140	18545
278	7166	18519
279	7191	18491
280	7218	18470
281	7244	18444
282	7269	18418
283	7295	18391
284	7318	18361
285	7343	18333
286	7369	18309
287	7396	18285
288	7422	18259
289	7447	18232
290	7469	18198
291	7493	18169
292	7517	18139
293	7538	18103
294	7567	18084
295	7589	18050
296	7612	18018
297	7637	17991
298	7660	17960
299	7687	17937
300	7713	17912
301	7737	17884
302	7759	17849
303	7784	17822
304	7809	17795
305	7838	17777
306	7862	17748
307	7888	17722
308	7911	17692
309	7937	17667
310	7961	17639
311	7986	17611
312	8012	17587
313	8036	17557
314	8060	17528
315	8085	17500
316	8110	17473
317	8134	17446
318	8161	17423
319	8187	17397
320	8213	17374
321	8237	17344
322	8265	17323
323	8290	17296
324	8315	17270
325	8340	17244
326	8366	17219
327	8391	17192
328	8419	17171
329	8443	17142
330	8468	17116
331	8492	17087
332	8516	17058
333	8540	17030
334	8566	17004
335	8592	16980
336	8619	16957
337	8646	16935
338	8670	16906
339	8692	16874
340	8716	16844
341	8739	16814
342	8764	16788
343	8789	16760
344	8813	16733
345	8838	16706
346	8860	16674
347	8880	16637
348	8904	16609
349	8925	16575
350	8949	16547
