number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.25151653636264565,5.904816368739803,0.5989230642684567,logloss,0.1566772113230591,0.0027231302772946246,7,260,binary:logistic,0.46475738402880323,gpu_hist,COMPLETE
1,0.27885771848831126,0.6886392900182157,0.847374607414235,logloss,0.03607450910868168,0.00655227097913751,22,95,binary:logistic,0.877547777303857,gpu_hist,COMPLETE
2,0.2798542997585565,1.5200392958092102,0.932739072014442,logloss,0.04052684192430588,0.00719883208099798,23,154,binary:logistic,0.7789097702122305,gpu_hist,COMPLETE
3,0.2677262895542446,0.002149643562412093,0.4998798133590643,logloss,0.014536577909385423,0.0031395967536738535,7,75,binary:logistic,0.7222016352196633,gpu_hist,COMPLETE
4,0.27196037407115237,0.08399078421428108,0.4548862007383262,logloss,0.7039892566041965,0.014852229463022778,18,61,binary:logistic,0.546907462108509,gpu_hist,COMPLETE
5,0.2683540925681673,0.005115035042704489,0.3434519901213561,logloss,0.7647711914746885,0.0034637142630576847,8,118,binary:logistic,0.8381391996774568,gpu_hist,COMPLETE
6,0.2739053012115428,0.004592828012613002,0.555146517915043,logloss,0.029696348363478734,0.020643923258872144,18,186,binary:logistic,0.9946683707328373,gpu_hist,COMPLETE
7,0.27793034996171156,0.007494351946175766,0.5024583395832233,logloss,0.012670195612741492,0.0157093168650782,6,26,binary:logistic,0.44227889742159365,gpu_hist,COMPLETE
8,0.2803156027938118,0.02163768626655114,0.6342731043444484,logloss,0.003631044856821088,0.01519469361766847,5,32,binary:logistic,0.546882381132263,gpu_hist,COMPLETE
9,0.2643940822794102,0.10654502378521767,0.8844056316439168,logloss,7.350212858986703,0.03304762692974373,19,183,binary:logistic,0.7528783407376262,gpu_hist,COMPLETE
10,0.14180880733962462,0.04593031404862762,0.7289305402587407,logloss,0.0011720593504988145,0.0829646473012859,12,4,binary:logistic,0.60722170621267,gpu_hist,COMPLETE
11,0.2268281094711161,8.48885542230561,0.7273184607879895,logloss,0.0014367518168585682,0.0010908746730921089,25,160,binary:logistic,0.5880203151944553,gpu_hist,COMPLETE
12,0.2790937321293063,0.7570845592016345,0.9539596003464181,logloss,0.004046867406569284,0.007371323764194603,12,264,binary:logistic,0.6352656324909918,gpu_hist,COMPLETE
13,0.2788912304130996,0.6828554689176723,0.7363320128787675,logloss,0.15149940401877351,0.0450995495230268,3,224,binary:logistic,0.8195623063379232,gpu_hist,COMPLETE
14,0.27919861097042215,0.025811807459722523,0.9942667253699449,logloss,0.00554026851698161,0.008296870701254344,15,129,binary:logistic,0.5104057651422964,gpu_hist,COMPLETE
15,0.23380473937041826,0.25528614408998845,0.6411531672607949,logloss,0.05497632107754721,0.029975913264010768,24,42,binary:logistic,0.6734173268940435,gpu_hist,COMPLETE
16,0.25416316471880407,0.018721900826589796,0.8004959259560658,logloss,0.004559505556440852,0.004654037309399828,3,215,binary:logistic,0.9381670824250564,gpu_hist,COMPLETE
17,0.27930576197263507,0.0011362717598037563,0.3574556683165411,logloss,0.44549609360989556,0.011780516663441279,14,294,binary:logistic,0.7770182223473051,gpu_hist,COMPLETE
18,0.24657262871899763,2.929848355289758,0.6657631679276932,logloss,5.168017379404269,0.0018360773275762454,10,139,binary:logistic,0.6832687897114714,gpu_hist,COMPLETE
19,0.22729643281706066,2.0377683018761403,0.8959255822474299,logloss,0.012267984830552109,0.06177107432939509,20,96,binary:logistic,0.4914070889692395,gpu_hist,COMPLETE
20,0.2735244956920119,0.22679717037879613,0.7931156564142415,logloss,0.08535972628143876,0.023991313089908244,16,155,binary:logistic,0.4062773432536134,gpu_hist,COMPLETE
21,0.27896734146034036,0.0025501488540783258,0.3179387230852943,logloss,0.5226171441060223,0.01131536483476743,13,277,binary:logistic,0.7713759864508205,gpu_hist,COMPLETE
22,0.28018281937106654,0.0015365951385743792,0.4811187481362146,logloss,0.28985691831304183,0.011647520921064672,10,296,binary:logistic,0.7901478371035046,gpu_hist,COMPLETE
23,0.2749216542216382,0.0011978606748351793,0.43104221615503086,logloss,1.4350289565544827,0.005751394816619802,10,237,binary:logistic,0.8863012261878765,gpu_hist,COMPLETE
24,0.28091595839102595,0.01255635873612732,0.551889183227491,logloss,0.2866768861021533,0.017338315876492632,5,187,binary:logistic,0.8218163214493591,gpu_hist,COMPLETE
25,0.28068172325660196,0.013232545156809336,0.5667747483954583,logloss,2.383391958517979,0.016874052118680965,5,195,binary:logistic,0.8435678992855588,gpu_hist,COMPLETE
26,0.28083145778879276,0.010944035055147294,0.5716231528479299,logloss,2.951265675338793,0.018999217399384316,5,196,binary:logistic,0.8999953750368146,gpu_hist,COMPLETE
27,0.2742507801316034,0.01042861122417318,0.5399777840283967,logloss,2.3829551994122795,0.04869961520254239,5,198,binary:logistic,0.9457980761061703,gpu_hist,COMPLETE
28,0.27946416977855465,0.011040542504708503,0.4161300466219773,logloss,3.1480680761196376,0.020088050128989305,4,237,binary:logistic,0.884603215710915,gpu_hist,COMPLETE
29,0.26869476161172645,0.045364311768145434,0.5563805474352831,logloss,1.3549582588845404,0.03690774225262769,8,174,binary:logistic,0.939349367307225,gpu_hist,COMPLETE
30,0.2763996967031599,0.004694012135991392,0.5837415164263327,logloss,0.22767451523492235,0.02508558634646783,8,210,binary:logistic,0.830571537320796,gpu_hist,COMPLETE
31,0.2816968026669542,0.021629497862400794,0.6307801831053363,logloss,9.493524910744716,0.018108138828649464,5,246,binary:logistic,0.8619875530853296,gpu_hist,COMPLETE
32,0.28171114919017703,0.015103149570929463,0.6044894185382266,logloss,7.240378169550083,0.019292817445274606,6,247,binary:logistic,0.8601236912581118,gpu_hist,COMPLETE
