number,value,params_alpha,params_colsample_bytree,params_device,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.20313216688698196,0.005222978024608346,0.6670703193797966,cuda,logloss,0.43858136333903164,0.056885985126327095,21,232,binary:logistic,0.8738620119033718,hist,COMPLETE
1,0.28020893724802,1.3196347099749743,0.5360393914198567,cuda,logloss,0.22081703349400264,0.0030862642420768863,13,244,binary:logistic,0.4470680165140026,hist,COMPLETE
2,0.2555873864794277,6.146192407888531,0.6551076224969721,cuda,logloss,0.08398238332344171,0.054007753347394764,8,160,binary:logistic,0.5994667472025843,hist,COMPLETE
3,0.2765990959991916,0.00627908027092812,0.7518178245269008,cuda,logloss,0.39665320386812075,0.011434247068147038,13,201,binary:logistic,0.9680502612945108,hist,COMPLETE
4,0.27844918070810587,0.005881927117701191,0.6941744733843895,cuda,logloss,6.2938132991823155,0.01402819678974902,17,288,binary:logistic,0.5700290343274753,hist,COMPLETE
5,0.1959375265462882,0.005629541500224749,0.3310004380528724,cuda,logloss,0.00386610252601478,0.025989610073200355,21,27,binary:logistic,0.5725494776454253,hist,COMPLETE
6,0.21885246876900263,0.13116797345781167,0.7601368509542326,cuda,logloss,0.1361889313335253,0.05318315117741447,17,179,binary:logistic,0.45617136479482434,hist,COMPLETE
7,0.2867979219969091,1.7527764647364508,0.4253976417781009,cuda,logloss,5.914039063058422,0.0069238827296158306,9,207,binary:logistic,0.688675862971879,hist,COMPLETE
8,0.28267607066440353,0.47645605857112416,0.7141260432221204,cuda,logloss,0.07402369837662802,0.0329867340100446,5,121,binary:logistic,0.8300729992442357,hist,COMPLETE
9,0.24165420094682769,7.109652237723777,0.9130989783592058,cuda,logloss,0.013271007422832303,0.045690349635114216,9,91,binary:logistic,0.8365733336218966,hist,COMPLETE
10,0.2553723136923729,0.050056110962588746,0.33740622814006943,cuda,logloss,8.07907162666068,0.0030863306228378603,3,9,binary:logistic,0.7054618564801187,hist,COMPLETE
11,0.24653127281507548,0.47404946771343925,0.5365410617213253,cuda,logloss,1.3785895499585403,0.0011769931817160347,4,100,binary:logistic,0.7609323048283493,hist,COMPLETE
12,0.28241028311306354,0.9471547421558594,0.5198777776569992,cuda,logloss,0.024807185152737745,0.00445329042392464,8,114,binary:logistic,0.7993172256209218,hist,COMPLETE
13,0.28293703772992984,0.19815289011723955,0.8997262185985071,cuda,logloss,0.0012538870016236196,0.02124129326091436,6,128,binary:logistic,0.9365103436713241,hist,COMPLETE
14,0.27234890027674563,0.0417608788141653,0.9987138445025158,cuda,logloss,0.0010295832586709312,0.006256339282059738,10,55,binary:logistic,0.9959716772224969,hist,COMPLETE
