PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.4745948,-0.26707762,-0.6266142,-0.6884579,0.9902486
0BVvxJ6a,0.12974219,0.3664066,0.4226749,0.37551928,-0.9231666
0KbdgApg,-0.09305073,-0.3426641,0.19157267,0.025720607,-0.5320313
0MnuuduB,0.026055124,-0.1861245,-0.16621266,1.4185967,-1.1761763
0PcIsF9z,-0.47068936,-0.116389684,-1.0238023,0.3005603,0.36899623
0ShTFLYJ,-0.36204123,-0.4761437,0.20118737,-0.7520072,0.57187533
0XZh9jka,0.013545831,0.83010626,-1.0478674,1.7476524,-0.6036607
0Y7Wegri,-0.27375445,0.9880476,0.74741745,-0.26611653,0.39119488
0dTqplIM,-0.0015620552,-0.2184473,0.25227302,0.35274762,-0.87718415
0lNiZicC,-0.32599205,-0.37150502,0.29716992,-0.6904826,0.24207622
0rGeJ0QN,-0.2506045,0.9442463,0.041946553,-0.16303991,0.3661355
0sXI9ytQ,-0.40743196,-0.15686177,0.18992533,-0.8186614,1.4469552
0ukt4aP6,0.014554919,-0.10354432,0.98995215,-0.70300406,-0.47272995
1AGspb8f,-0.35879973,-0.18915993,-0.68495893,0.11858913,-0.69268465
1Csy0gvE,-0.4503638,-0.123952344,-0.20629975,-0.5866303,0.5679156
1Ic2hly1,-0.3358761,0.22234632,-0.10613249,0.060855716,0.27471533
1PPbaTwt,-0.34311384,-0.3223884,-0.32925522,-0.52828187,0.43011954
1SO5VJNy,-0.41493812,-0.07109122,-0.1441688,-0.52455395,0.9904133
1arHxK3Y,0.36934018,0.10811567,1.7521589,0.24862829,-0.39404273
1fCW4Bba,-0.28132853,0.32337394,0.34841037,-0.49761364,0.60792166
1qDZNvIm,-0.45522895,-0.09499547,-0.1367714,-0.6743081,1.0334642
28LYJC2V,-0.43271452,-0.23871568,-0.8881044,0.3684845,-0.50297236
2CzACvQq,0.2688148,1.5471275,1.8385223,0.86479354,-0.47099033
2FT3crfv,-0.102401264,-0.2511045,-0.15524642,0.24979593,-0.73157555
2Fy2uHVg,-0.45090723,-0.055007488,-0.4168558,-0.399069,-0.08387041
2MkMEApm,-0.43501806,0.06756541,0.16462111,-0.71080583,0.98091805
2NDGWEOe,0.39655694,1.0247505,1.2714984,-0.42496407,-0.48579836
2NyyCiqn,-0.40220606,-0.12953357,-0.058102243,-0.5081744,0.8170037
2QRzIb84,0.037756763,0.99004745,2.0519745,-0.43459076,0.19904685
2QcbdrUZ,-0.33650464,0.120508604,-0.05728675,-0.5018493,0.4949682
2YgAimWK,-0.36891967,-0.044265103,0.42756322,-0.57718027,0.5542652
2cx85d9H,-0.025566665,-0.27724046,0.18931459,0.11411444,-0.48808947
2homMXMV,-0.42592123,-0.08487137,-0.55027515,0.114126585,0.5047262
2ldLrUtq,-0.47303167,-0.4606621,-0.19801353,-0.3496971,-0.59763914
2nsACW6G,-0.39487445,0.21434379,-1.188498,0.8734905,-0.86646897
2yMbVnWc,0.057794306,1.0667002,0.016514726,1.4030062,0.048710577
36r8sgGQ,-0.40408424,-0.20479982,-0.2406158,-0.6493838,0.987176
3NXAXCl3,-0.4790049,-0.29800206,-1.1342628,0.51673555,-0.7559798
3QG0z6fl,-0.3284493,-0.30568522,-0.122791,-0.61108696,0.22418274
3WS8R9qm,-0.4419383,0.3094434,-0.8932065,2.0307872,-0.5752077
3fRLm8f5,-0.43596983,-0.11718867,-0.79672605,0.13520454,0.49071783
3mZhp1nQ,-0.4412331,-0.25383344,-0.061704278,-0.4588415,0.64688677
3pikJXRL,-0.49455053,-0.2611176,-1.0989649,0.50140643,-0.63699234
3pxOEGHL,-0.4384343,-0.17185014,-0.30437467,-0.6104071,0.77166754
3ttdV3f5,-0.119672254,1.6119232,0.0127406195,0.47806314,-0.3390892
3v4X6Mfe,0.35837594,-0.09230538,1.3666074,-0.27614194,-0.6914328
3wORuPiv,-0.42678952,-0.17667337,-0.39980078,-0.10814219,-0.62733155
43EfrxZj,0.0682887,-0.20946026,0.13919732,0.54516923,-0.81042004
457Vwm21,0.046037264,0.14747287,0.6440921,0.19866006,-0.06585212
46KNnOdx,-0.5000721,-0.16066074,-1.153636,-0.044981368,0.08557115
47TwNsVC,-0.388685,0.26913354,-1.0659144,1.5261381,-0.78855544
49856RpO,-0.42176223,-0.20524396,-0.9818159,-0.07363648,-0.70554054
4Ane1o2N,-0.36503044,-0.40601408,0.19327673,-0.50790775,0.29046184
4AyVUgSc,-0.31690353,-0.3287127,0.14005825,-0.68234235,-0.082412556
4B1951On,-0.13973574,-0.16531289,0.14236084,-0.30627787,0.17057267
4OL39Teo,0.058687173,0.40171507,0.22928786,0.19710016,-0.46443024
4eQ90eLY,-0.14167573,-0.17468828,-0.05532254,0.32445985,-0.5880543
4o5jwMj8,-0.35146454,0.12757002,-0.18173984,-0.5949198,0.23056017
4vPgpl2c,-0.41176426,-0.24939266,-0.47463807,-0.5781161,0.42887908
51r9aA0d,-0.1693976,-0.10687365,0.32231644,-0.62590796,0.12248888
58SmeRoP,-0.38716254,-0.01842781,-0.44449127,0.13976271,-0.2068175
5HJp1AXn,-0.37518272,-0.06880167,-0.62237275,0.32989743,-0.32212967
5MBZW7fx,-0.07682135,-0.1342016,1.0478809,-0.35246298,-0.35883516
5Nq3gHaP,0.13502316,0.7849261,0.23892218,0.43509993,-0.7884143
5RmwFFK3,0.15762101,0.1881823,0.21066342,0.21007574,-1.1174695
5Tu5Jbov,-0.4550574,-0.2836864,-0.4456466,-0.26150644,-0.36880934
5YEolkev,-0.41571587,-0.41364256,-0.29542327,-0.4575464,-0.497854
5a8sf6QV,0.008313694,-0.28586757,0.26812366,0.002651452,-0.520133
5eSvmqYm,-0.5080354,0.34596986,-0.06975378,-0.17626403,-0.632534
5hkN8fiv,-0.4567217,-0.2838146,-1.159038,0.44749257,-0.2395031
5oK8Gti5,-0.4616977,-0.23913458,-0.2021901,-0.69405955,1.2754699
5paniGaU,-0.46428847,-0.06395311,-0.49801606,-0.6651826,1.0646647
5vsr7ZUP,0.0057678707,-0.22724004,0.2837029,-0.18396184,-0.85381025
60B4xMWI,-0.14653085,0.9602725,0.79413843,-0.69909036,0.3580717
64jOUtKy,0.26280013,0.91692585,0.49661994,0.9529789,-0.7062743
6AJo4xNG,-0.41866505,0.18135458,-0.35971582,0.1873516,0.02150297
6CAvhEte,-0.39177483,-0.20392658,-0.5356483,-0.50671333,0.35607764
6CuGYjT5,1.5525242,0.31336126,1.4947834,0.7113594,-0.92851394
6DGH8ujZ,-0.50405794,-0.30049488,-1.3254582,0.36881137,-0.1352005
6PzsGdVm,-0.41261008,-0.06399056,-1.0128827,0.3546738,-0.11627088
6UcSJMbq,-0.12807852,1.0291886,1.0244585,-0.632449,0.2562575
6WJbkH8U,0.80629146,-0.09572467,0.89992684,-0.31007892,-1.1399693
6eUWsVzw,0.17228422,-0.25921392,0.39700243,0.15440777,-0.7306258
6gNyO7Do,0.040734466,-0.114782125,0.12111418,0.23772378,-0.317005
6jT0AyHe,-0.053543918,-0.10507174,0.112397484,0.09738424,-0.9170632
