iter	RMSE
0	0.1927165157
1	0.1886498869
2	0.1852492207
3	0.1821005328
4	0.179169463
5	0.1767727295
6	0.1743965035
7	0.1724930503
8	0.1707299621
9	0.1691592401
10	0.1676968494
11	0.1664969036
12	0.1654196413
13	0.1643731657
14	0.1635371614
15	0.1627343985
16	0.1620554446
17	0.161436573
18	0.1608183235
19	0.1602952743
20	0.1598957238
21	0.1594976617
22	0.1590859707
23	0.1587675844
24	0.1584711183
25	0.1581676561
26	0.157954188
27	0.1577553091
28	0.1575176761
29	0.1572874063
30	0.1570861097
31	0.1568544685
32	0.1566731754
33	0.1565236665
34	0.15638104
35	0.1562531842
36	0.156107048
37	0.1559069198
38	0.1557817845
39	0.1556457982
40	0.1555242737
41	0.1554158163
42	0.1553090421
43	0.1552070636
44	0.1550709711
45	0.1549860877
46	0.1549173242
47	0.154816316
48	0.1547091163
49	0.1546107243
50	0.1545210188
51	0.1544606179
52	0.1544133514
53	0.1543050356
54	0.1542253756
55	0.154151324
56	0.1540623996
57	0.1539910742
58	0.1539312514
59	0.1538766861
60	0.1538291851
61	0.1537841983
62	0.153722809
63	0.1536868586
64	0.1536126281
65	0.1535444316
66	0.1534845889
67	0.1534471619
68	0.1533541659
69	0.15330129
70	0.1532677527
71	0.1532456498
72	0.1532144487
73	0.1531366385
74	0.1530966663
75	0.1530386667
76	0.1530001855
77	0.1529520839
78	0.1528999384
79	0.152845449
80	0.1528304818
81	0.1527690462
82	0.1527325452
83	0.1526994652
84	0.152628079
85	0.1525756146
86	0.1525432442
87	0.1525046191
88	0.152461909
89	0.1523974164
90	0.1523695652
91	0.152333414
92	0.1522945009
93	0.1522345768
94	0.1521969449
95	0.1521718504
96	0.1520871058
97	0.1520533278
98	0.1520237224
99	0.1519946354
100	0.1519644195
101	0.1519189787
102	0.1518725199
103	0.1518612471
104	0.1518380078
105	0.1518077736
106	0.1517590261
107	0.1517200815
108	0.1516904224
109	0.1516383569
110	0.1516047946
111	0.1515667329
112	0.1515373035
113	0.15152235
114	0.1515055671
115	0.1514773628
116	0.1514235949
117	0.1514071127
118	0.151373283
119	0.1513525909
120	0.1513272788
121	0.1513066953
122	0.151296445
123	0.1512586987
124	0.1512197976
125	0.1512141055
126	0.1511621074
127	0.1511417105
128	0.1511042226
129	0.1510781498
130	0.1510451563
131	0.1510202444
132	0.1510012572
133	0.150960984
134	0.1509246963
135	0.1509123417
136	0.1508824322
137	0.1508461207
138	0.1508210055
139	0.1507687826
140	0.1507141607
141	0.1506826246
142	0.1506723653
143	0.1506449531
144	0.1505965609
145	0.1505648943
146	0.150492141
147	0.150469256
148	0.1504388341
149	0.1504030376
150	0.1503688707
151	0.1503544462
152	0.1503219538
153	0.1502572687
154	0.1502297482
155	0.1501962867
156	0.1501543664
157	0.1501215004
158	0.1500878518
159	0.150029817
160	0.150011386
161	0.1499886056
162	0.1499694788
163	0.1499346509
164	0.1498915246
165	0.1498370646
166	0.1498211328
167	0.1497727212
168	0.149712714
169	0.1496368939
170	0.1496011939
171	0.1495893874
172	0.1495698103
173	0.1495355693
174	0.1494819894
175	0.149444605
176	0.149390683
177	0.1493564872
178	0.1493247546
179	0.1493194066
180	0.1492826929
181	0.1492476456
182	0.1492161123
183	0.149167587
184	0.1491295907
185	0.1491208788
186	0.1490794543
187	0.149047968
188	0.1490158144
189	0.1489861446
190	0.1489323113
191	0.1488821753
192	0.1488560778
193	0.148849706
194	0.1488212047
195	0.148778906
196	0.1487546247
197	0.148706877
198	0.1486564454
199	0.1486090396
200	0.148565938
201	0.1485473559
202	0.1485352055
203	0.1484748855
204	0.1484467157
205	0.1484119215
206	0.1483666369
207	0.1483200038
208	0.1482794418
209	0.1482485139
210	0.148226629
211	0.1482215232
212	0.148195492
213	0.1481357803
214	0.1480963702
215	0.1480189744
216	0.1479761038
217	0.1479335074
218	0.1478860772
219	0.1478404706
220	0.1477810668
221	0.1477537363
222	0.1477164121
223	0.1476824262
224	0.1476412016
225	0.1475945037
226	0.1475640324
227	0.1475300482
228	0.147493769
229	0.1474725104
230	0.1474413229
231	0.1473866606
232	0.1473630432
233	0.1473300422
234	0.1472793529
235	0.1472750038
236	0.1472354689
237	0.147194166
238	0.147142137
239	0.1470998481
240	0.1470689638
241	0.147027616
242	0.1470083095
243	0.146984214
244	0.1469457682
245	0.1469204811
246	0.1468938407
247	0.1468441534
248	0.1468210818
249	0.1468019527
250	0.1467748552
251	0.1467549455
252	0.1467228301
253	0.1466863266
254	0.1466584752
255	0.1466504242
256	0.1466136958
257	0.1465908443
258	0.1465579068
259	0.1465331983
260	0.1465035698
261	0.1464917715
262	0.1464721586
263	0.1464497937
264	0.1464428213
265	0.1464004533
266	0.1463750248
267	0.1463672875
268	0.1463448359
269	0.1463248157
270	0.1463014706
271	0.1462634428
272	0.1462444579
273	0.1462398467
274	0.1462107393
275	0.1462068129
276	0.1461910737
277	0.1461464765
278	0.1461201076
279	0.1460686586
280	0.1460254837
281	0.1459858252
282	0.1459839829
283	0.145931606
284	0.1459041037
285	0.1458655027
286	0.1458457251
287	0.1458273087
288	0.1457841189
289	0.1457584128
290	0.1457171592
291	0.1456968286
292	0.1456661109
293	0.145622889
294	0.1455861048
295	0.1455656468
296	0.1455120458
