iter	Passed	Remaining
0	69	69595
1	78	39043
2	85	28478
3	92	22919
4	98	19515
5	104	17272
6	110	15633
7	115	14353
8	122	13439
9	128	12696
10	134	12049
11	139	11493
12	145	11061
13	151	10664
14	157	10351
15	163	10049
16	169	9778
17	175	9553
18	181	9350
19	187	9169
20	193	9004
21	198	8842
22	204	8695
23	210	8553
24	216	8431
25	221	8314
26	227	8197
27	233	8099
28	239	8003
29	245	7936
30	251	7846
31	257	7787
32	263	7718
33	269	7658
34	275	7584
35	281	7527
36	286	7469
37	293	7420
38	298	7358
39	304	7297
40	309	7247
41	315	7197
42	320	7137
43	326	7087
44	332	7052
45	338	7011
46	343	6962
47	349	6940
48	355	6903
49	361	6876
50	367	6838
51	373	6808
52	379	6772
53	385	6749
54	390	6717
55	396	6689
56	402	6657
57	408	6630
58	414	6607
59	419	6576
60	425	6545
61	431	6520
62	436	6493
63	441	6457
64	447	6431
65	452	6406
66	457	6374
67	462	6344
68	469	6332
69	475	6312
70	480	6287
71	485	6259
72	491	6239
73	497	6224
74	503	6211
75	509	6200
76	515	6180
77	521	6170
78	527	6149
79	533	6134
80	539	6116
81	544	6097
82	550	6080
83	555	6061
84	561	6043
85	566	6022
86	571	5998
87	577	5981
88	582	5961
89	588	5949
90	594	5935
91	599	5917
92	605	5901
93	611	5891
94	616	5873
95	621	5854
96	628	5849
97	634	5838
98	640	5828
99	645	5810
100	651	5797
101	656	5782
102	662	5767
103	667	5750
104	673	5741
105	679	5729
106	685	5717
107	690	5701
108	695	5686
109	701	5675
110	706	5660
111	712	5649
112	718	5636
113	723	5620
114	728	5609
115	734	5596
116	740	5585
117	745	5572
118	750	5558
119	755	5543
120	761	5534
121	767	5520
122	772	5511
123	778	5500
124	784	5488
125	789	5475
126	795	5464
127	800	5451
128	806	5446
129	812	5438
130	817	5424
131	823	5414
132	828	5402
133	834	5394
134	839	5380
135	845	5368
136	850	5357
137	856	5350
138	861	5339
139	867	5329
140	873	5319
141	879	5312
142	884	5299
143	889	5288
144	895	5279
145	901	5271
146	907	5263
147	912	5251
148	917	5241
149	923	5234
150	930	5230
151	935	5218
152	940	5208
153	946	5200
154	952	5190
155	958	5183
156	963	5176
157	969	5167
158	975	5158
159	981	5151
160	986	5142
161	992	5134
162	998	5125
163	1003	5115
164	1009	5107
165	1014	5097
166	1019	5087
167	1025	5080
168	1031	5074
169	1037	5067
170	1043	5058
171	1048	5049
172	1054	5041
173	1060	5032
174	1066	5025
175	1071	5015
176	1076	5006
177	1082	4998
178	1087	4989
179	1092	4978
180	1098	4968
181	1103	4960
182	1108	4950
183	1114	4943
184	1120	4937
185	1125	4925
186	1130	4915
187	1136	4907
188	1141	4899
189	1147	4890
190	1152	4882
191	1158	4876
192	1164	4867
193	1169	4857
194	1174	4849
195	1181	4845
196	1186	4836
197	1192	4828
198	1197	4819
199	1202	4810
200	1207	4800
201	1212	4791
202	1218	4782
203	1224	4776
204	1229	4766
205	1234	4759
206	1241	4754
207	1246	4745
208	1251	4737
209	1257	4728
210	1262	4719
211	1267	4709
212	1272	4700
213	1278	4695
214	1283	4687
215	1289	4681
216	1295	4673
217	1300	4665
218	1306	4659
219	1311	4651
220	1317	4643
221	1322	4635
222	1328	4629
223	1334	4621
224	1339	4613
225	1345	4609
226	1351	4601
227	1356	4594
228	1362	4587
229	1368	4579
230	1373	4572
231	1379	4566
232	1384	4559
233	1390	4550
234	1395	4543
235	1401	4536
236	1407	4529
237	1412	4523
238	1418	4517
239	1424	4510
240	1429	4502
241	1435	4497
242	1440	4488
243	1446	4480
244	1451	4473
245	1457	4465
246	1462	4459
247	1468	4453
248	1473	4445
249	1479	4438
250	1484	4430
251	1490	4423
252	1496	4417
253	1501	4411
254	1507	4403
255	1512	4396
256	1518	4388
257	1523	4381
258	1528	4374
259	1534	4367
260	1540	4361
261	1546	4354
262	1551	4348
263	1556	4340
264	1562	4332
265	1567	4325
266	1573	4320
267	1579	4313
268	1584	4307
269	1590	4300
270	1596	4294
271	1602	4288
272	1607	4280
273	1612	4273
274	1618	4267
275	1624	4261
276	1629	4253
277	1634	4246
278	1640	4239
279	1645	4232
280	1651	4225
281	1657	4219
282	1662	4211
283	1667	4203
284	1672	4196
285	1678	4190
286	1683	4182
287	1689	4176
288	1694	4168
289	1699	4161
290	1705	4155
291	1710	4148
292	1716	4142
293	1721	4134
294	1727	4127
295	1733	4122
296	1738	4115
297	1743	4108
298	1749	4101
299	1754	4094
300	1761	4089
301	1766	4082
302	1771	4076
303	1777	4070
304	1783	4063
305	1789	4057
306	1794	4050
307	1799	4043
308	1804	4035
309	1810	4029
310	1815	4022
311	1821	4016
312	1826	4009
313	1832	4003
314	1838	3997
315	1843	3990
316	1849	3984
317	1854	3977
318	1860	3970
319	1865	3964
320	1870	3957
321	1876	3951
322	1881	3944
323	1887	3938
324	1893	3932
325	1898	3925
326	1903	3918
327	1909	3911
328	1914	3905
329	1921	3900
330	1926	3894
331	1932	3888
332	1938	3882
333	1943	3875
334	1949	3869
335	1954	3862
336	1959	3855
337	1965	3848
338	1970	3841
339	1975	3834
340	1981	3828
341	1986	3821
342	1992	3815
343	1997	3809
344	2002	3802
345	2007	3795
346	2013	3788
347	2019	3783
348	2024	3776
349	2029	3769
350	2035	3763
351	2041	3757
352	2046	3751
353	2052	3744
354	2057	3737
355	2062	3731
356	2067	3724
357	2073	3717
358	2078	3711
359	2083	3704
360	2089	3697
361	2094	3690
362	2100	3685
363	2105	3678
364	2110	3672
365	2116	3665
366	2121	3658
367	2128	3654
368	2133	3648
369	2138	3641
370	2144	3635
371	2150	3630
372	2155	3624
373	2161	3618
374	2167	3612
375	2173	3606
376	2178	3599
377	2184	3594
378	2190	3589
379	2196	3583
380	2202	3578
381	2207	3571
382	2212	3564
383	2217	3557
384	2223	3551
385	2228	3544
386	2233	3538
387	2239	3532
388	2245	3527
389	2251	3521
390	2256	3515
391	2262	3509
392	2268	3503
393	2273	3496
394	2278	3489
395	2284	3484
396	2289	3478
397	2295	3471
398	2300	3465
399	2306	3459
400	2311	3453
401	2317	3447
