iter	RMSE
0	0.2207017746
1	0.2163866845
2	0.2126442555
3	0.2089881095
4	0.2054042955
5	0.202332094
6	0.1997034871
7	0.1971403933
8	0.1945180481
9	0.1920604827
10	0.1897819057
11	0.1875706517
12	0.1857631689
13	0.1837402069
14	0.1818524238
15	0.1800244332
16	0.1786943313
17	0.1773626814
18	0.1759073667
19	0.1745651331
20	0.173370838
21	0.1722578241
22	0.1710591995
23	0.170078293
24	0.1690583538
25	0.168052488
26	0.1672949791
27	0.1664898656
28	0.1658088232
29	0.1651879707
30	0.1642334962
31	0.1635209019
32	0.1626679377
33	0.1620532366
34	0.161447131
35	0.1608588881
36	0.1603255854
37	0.159843136
38	0.1593584789
39	0.1589190685
40	0.1584768509
41	0.1580695011
42	0.1576011796
43	0.1572616582
44	0.1569443279
45	0.1565669038
46	0.1562108452
47	0.1558956972
48	0.155597587
49	0.1552374469
50	0.1549310743
51	0.1545639853
52	0.1542709751
53	0.1539875881
54	0.1537200407
55	0.1534331482
56	0.1530669577
57	0.1528664891
58	0.152502954
59	0.1522467095
60	0.1520600764
61	0.1518182218
62	0.151581261
63	0.1514429823
64	0.1511887809
65	0.1510162226
66	0.1508398943
67	0.1506947453
68	0.1504182286
69	0.1501851784
70	0.1498645483
71	0.1496077524
72	0.1494129583
73	0.1492421589
74	0.1490731915
75	0.1489153183
76	0.1488026209
77	0.1486129195
78	0.1484810754
79	0.1483503049
80	0.1481580924
81	0.1478288214
82	0.1476108219
83	0.1474139771
84	0.1472132765
85	0.1471303364
86	0.1469977762
87	0.1468333584
88	0.1466271695
89	0.1465292487
90	0.1463566939
91	0.1462235034
92	0.1460256515
93	0.1458899268
94	0.1457200675
95	0.1454798129
96	0.1453507321
97	0.1451650429
98	0.1449402734
99	0.1448226085
100	0.1446882837
101	0.1445415274
102	0.1443955841
103	0.1440628444
104	0.1438112986
105	0.1436689003
106	0.1435589858
107	0.143403845
108	0.1433161735
109	0.1431199361
110	0.1430090601
111	0.1428738222
112	0.1427095436
113	0.1425869831
114	0.1424343954
115	0.1423069115
116	0.1420892057
117	0.1419433072
118	0.141753061
119	0.1416287385
120	0.141480687
121	0.1413649623
122	0.1411710082
123	0.1409542158
124	0.1408487847
125	0.1407108937
126	0.1405757882
127	0.1404846206
128	0.1403838658
129	0.1402720606
130	0.1400630338
131	0.1398673216
132	0.1397356978
133	0.1395970552
134	0.1394000475
135	0.1392619138
136	0.1390594661
137	0.138924521
138	0.1388214384
139	0.138709814
140	0.1385445707
141	0.138466906
142	0.1383623574
143	0.1382515474
144	0.1381317209
145	0.1380252449
146	0.1378138117
147	0.1376725137
148	0.1375524928
149	0.1374705201
150	0.1373821938
151	0.1371878214
152	0.1369523329
153	0.1368119951
154	0.1366199779
155	0.1365238477
156	0.1364103098
157	0.1363015044
158	0.1361405596
159	0.1359372919
160	0.1358618518
161	0.1357672004
162	0.1356922839
163	0.1356103446
164	0.1354725682
165	0.1353208083
166	0.1352044262
167	0.1351196091
168	0.1349606573
169	0.1348546697
170	0.1346686634
171	0.1344802789
172	0.134383289
173	0.1342300317
174	0.1341616639
175	0.1339965852
176	0.1338320341
177	0.1336715223
178	0.1335717072
179	0.1334320242
180	0.1332758027
181	0.133165418
182	0.133008493
183	0.1329032303
184	0.1327637014
185	0.1326239406
186	0.132520885
187	0.1323393495
188	0.132203374
189	0.1321152837
190	0.1321011144
191	0.1319193037
192	0.1317943901
193	0.1316823776
194	0.1315682655
195	0.1313857186
196	0.1312482688
197	0.13111832
198	0.1310360173
199	0.1309348475
200	0.1308585246
201	0.1307316267
202	0.1306418569
203	0.1305148931
204	0.1303767298
205	0.1302944275
206	0.1301934507
207	0.1300881936
208	0.129962464
209	0.129884873
210	0.1297205385
211	0.1296077273
212	0.1294673886
213	0.1293453147
214	0.1291835786
215	0.1291052503
216	0.129037793
217	0.1289242517
218	0.1288309153
219	0.1286826929
220	0.1285820314
221	0.128444074
222	0.1283396463
223	0.1282100362
224	0.1281243328
225	0.1280301414
226	0.1279366016
227	0.1277206166
228	0.1275890359
229	0.1274846884
230	0.1274057486
231	0.1273103095
232	0.1271993298
233	0.1270784867
234	0.1270111978
235	0.126915397
236	0.1268350732
237	0.1267404657
238	0.1267050216
239	0.1265955906
240	0.1264941005
241	0.1263579132
242	0.1262157646
243	0.1260934832
244	0.1259957912
245	0.125859959
246	0.1257695739
247	0.1255980682
248	0.1254704833
249	0.1253429082
250	0.1252364828
251	0.1251590081
252	0.1250976868
253	0.1250348153
254	0.1248612766
255	0.1247831536
256	0.1246859703
257	0.1246301162
258	0.124484592
259	0.1243812501
260	0.1242794474
261	0.1242032181
262	0.1240562029
263	0.1239489168
264	0.1238396314
265	0.1237594796
266	0.123670453
267	0.1235603204
268	0.1234376605
269	0.1233352626
270	0.1232434531
271	0.1231421896
272	0.1230771394
273	0.1229975644
274	0.1229253154
275	0.1228343794
276	0.1226921993
277	0.1226139202
278	0.1224988794
279	0.1223556551
280	0.1222616681
281	0.1221970627
282	0.1220964506
283	0.1219382976
284	0.1218557044
285	0.1217794765
286	0.1217036364
287	0.1216415603
288	0.1215018521
289	0.1213730193
290	0.1212899183
291	0.1212182246
292	0.1211244184
293	0.1210300484
294	0.1209626092
295	0.12088918
296	0.1207425806
297	0.1206568359
298	0.1205861583
299	0.1204825859
300	0.1203730036
301	0.1203203127
302	0.1201914772
303	0.1201025124
304	0.1200196548
305	0.1199439121
306	0.1198774213
307	0.1197879713
308	0.1197342284
309	0.1196674129
310	0.1195876149
311	0.1195033673
312	0.1194303664
313	0.1193723849
314	0.1192601027
315	0.119209789
316	0.1190926402
317	0.1190207356
318	0.1189475115
319	0.1188747342
320	0.1187804001
321	0.1187171453
322	0.1186258607
323	0.1185276411
324	0.1184109179
325	0.118369999
326	0.1182792254
327	0.1181747365
328	0.1180775058
329	0.1179389692
330	0.1179013689
331	0.117813919
332	0.1177430752
333	0.1176150947
334	0.117485135
335	0.1174227578
336	0.1173322536
337	0.117242677
338	0.1170960555
339	0.1170149468
340	0.1169218206
341	0.1168633717
342	0.1167852275
343	0.116696822
344	0.1165921213
345	0.1165129867
346	0.116431631
347	0.1163398056
348	0.1162555295
349	0.1161439502
350	0.1160353537
351	0.1159449427
352	0.1159042468
353	0.1158210584
354	0.1157384312
355	0.1156593377
356	0.1155874687
357	0.1154592534
358	0.1153886472
359	0.1152894016
360	0.1151501326
361	0.1151069332
362	0.1150241919
363	0.1149436643
364	0.1148655006
365	0.1147889225
366	0.1147351289
367	0.1146627062
368	0.1145723043
369	0.1145118561
370	0.1144302964
371	0.1143725204
372	0.1142812604
373	0.1142385607
374	0.1141671943
375	0.1141063292
376	0.1140050721
377	0.1139102859
378	0.1138254673
379	0.1137718312
