iter	Passed	Remaining
0	52	52327
1	56	28086
2	59	19780
3	63	15703
4	66	13244
5	70	11628
6	73	10475
7	77	9591
8	80	8913
9	84	8370
10	88	7949
11	92	7587
12	95	7266
13	99	6994
14	103	6773
15	106	6553
16	110	6367
17	113	6198
18	117	6052
19	121	5976
20	126	5895
21	130	5799
22	134	5713
23	138	5626
24	142	5541
25	145	5457
26	149	5389
27	153	5324
28	157	5263
29	161	5205
30	164	5151
31	168	5105
32	172	5059
33	176	5013
34	180	4970
35	184	4931
36	187	4890
37	191	4854
38	195	4828
39	200	4805
40	204	4775
41	208	4747
42	212	4720
43	216	4696
44	220	4671
45	223	4636
46	227	4619
47	231	4598
48	235	4576
49	239	4552
50	243	4531
51	247	4504
52	251	4487
53	254	4465
54	258	4442
55	262	4422
56	266	4407
57	270	4390
58	274	4372
59	277	4354
60	281	4338
61	285	4322
62	289	4306
63	293	4289
64	297	4275
65	301	4260
66	304	4245
67	308	4230
68	312	4215
69	316	4201
70	320	4187
71	323	4175
72	327	4162
73	332	4155
74	336	4148
75	340	4139
76	344	4127
77	348	4117
78	352	4105
79	355	4093
80	359	4082
81	363	4073
82	367	4061
83	371	4050
84	375	4040
85	379	4029
86	383	4021
87	386	4010
88	391	4005
89	395	3999
90	399	3992
91	403	3984
92	407	3977
93	412	3971
94	415	3962
95	419	3953
96	423	3945
97	427	3938
98	431	3930
99	435	3921
100	439	3914
101	443	3906
102	447	3898
103	451	3890
104	455	3882
105	459	3874
106	463	3866
107	467	3858
108	470	3849
109	474	3841
110	478	3830
111	482	3823
112	486	3816
113	490	3808
114	493	3801
115	497	3793
116	501	3785
117	505	3777
118	509	3769
119	513	3764
120	517	3757
121	521	3750
122	525	3744
123	529	3737
124	532	3729
125	536	3722
126	540	3716
127	544	3708
128	548	3700
129	552	3696
130	556	3690
131	560	3683
132	564	3680
133	568	3675
134	572	3668
135	576	3661
136	580	3655
137	584	3648
138	588	3642
139	591	3636
140	596	3632
141	600	3628
142	604	3622
143	608	3617
144	612	3611
145	616	3606
146	620	3600
147	624	3594
148	628	3588
149	632	3582
150	636	3576
151	640	3570
152	644	3565
153	647	3559
154	651	3553
155	655	3547
156	659	3542
157	663	3537
158	667	3531
159	671	3525
160	675	3519
161	679	3513
162	683	3509
163	687	3506
164	691	3500
165	695	3494
166	699	3488
167	703	3482
168	707	3477
169	711	3471
170	714	3466
171	718	3460
172	722	3455
173	726	3450
174	730	3444
175	734	3439
176	738	3434
177	742	3430
178	746	3425
179	750	3419
180	754	3414
181	758	3409
182	762	3403
183	766	3398
184	770	3392
185	774	3387
186	777	3380
187	781	3375
188	785	3370
189	789	3365
190	793	3359
191	797	3355
192	801	3351
193	805	3346
194	809	3341
195	813	3337
