iter	Passed	Remaining
0	68	68083
1	86	43082
2	104	34636
3	121	30305
4	138	27630
5	155	25781
6	174	24761
7	196	24366
8	214	23600
9	232	23038
10	249	22465
11	265	21870
12	282	21429
13	297	20968
14	315	20698
15	330	20355
16	347	20090
17	364	19888
18	380	19658
19	398	19541
20	415	19350
21	433	19256
22	449	19074
23	467	19016
24	482	18834
25	500	18748
26	515	18578
27	534	18558
28	553	18516
29	568	18395
30	585	18288
31	605	18311
32	620	18186
33	636	18083
34	653	18008
35	671	17975
36	686	17869
37	703	17798
38	724	17850
39	742	17827
40	758	17753
41	774	17668
42	793	17658
43	812	17644
44	831	17637
45	850	17630
46	866	17569
47	883	17522
48	899	17452
49	915	17390
50	931	17329
51	947	17281
52	967	17288
53	984	17247
54	1000	17193
55	1017	17151
56	1034	17109
57	1054	17126
58	1070	17066
59	1086	17019
60	1102	16966
61	1117	16906
62	1134	16872
63	1150	16833
64	1170	16838
65	1190	16846
66	1208	16823
67	1225	16800
68	1241	16749
69	1258	16718
70	1275	16690
71	1291	16643
72	1309	16624
73	1327	16608
74	1343	16567
75	1359	16523
76	1375	16488
77	1395	16494
78	1411	16460
79	1427	16413
80	1442	16371
81	1459	16344
82	1479	16347
83	1497	16327
84	1515	16310
85	1537	16339
86	1552	16292
87	1570	16275
88	1588	16258
89	1603	16210
90	1619	16174
91	1634	16132
92	1649	16090
93	1669	16090
94	1684	16042
95	1699	16002
96	1715	15966
97	1731	15939
98	1748	15914
99	1765	15889
100	1781	15861
101	1798	15830
102	1813	15794
103	1829	15760
104	1845	15728
105	1861	15697
106	1878	15679
107	1895	15653
108	1911	15625
109	1930	15619
110	1946	15586
111	1962	15558
112	1978	15530
113	1995	15505
114	2011	15478
115	2028	15457
116	2046	15442
117	2062	15413
118	2081	15411
119	2099	15395
120	2114	15361
121	2130	15330
122	2147	15311
123	2164	15292
124	2183	15284
125	2200	15262
126	2216	15236
127	2236	15234
128	2253	15215
129	2273	15217
130	2294	15218
131	2312	15203
132	2331	15195
133	2346	15164
134	2364	15150
135	2380	15124
136	2401	15128
137	2419	15115
138	2443	15134
139	2464	15140
140	2481	15114
141	2499	15100
142	2516	15082
143	2532	15054
144	2550	15038
145	2566	15011
146	2586	15010
147	2603	14988
148	2621	14971
149	2639	14959
150	2657	14942
151	2673	14917
152	2693	14908
153	2710	14887
154	2727	14869
155	2743	14841
156	2761	14828
157	2784	14840
158	2803	14828
159	2819	14799
160	2839	14796
161	2855	14772
162	2872	14752
163	2892	14743
164	2910	14728
165	2927	14705
166	2944	14689
167	2962	14671
168	2980	14654
169	2998	14641
170	3018	14634
171	3033	14605
172	3050	14581
173	3068	14567
174	3087	14553
175	3104	14534
176	3121	14513
177	3137	14490
178	3158	14486
179	3174	14461
180	3190	14435
181	3207	14415
182	3226	14404
183	3243	14386
184	3261	14369
185	3277	14344
186	3291	14312
187	3306	14281
188	3323	14262
189	3340	14240
190	3355	14214
191	3371	14188
192	3386	14160
193	3401	14133
194	3416	14103
195	3432	14079
196	3448	14058
197	3466	14039
198	3481	14012
199	3498	13992
200	3513	13968
201	3531	13952
202	3549	13935
203	3565	13911
204	3582	13894
205	3596	13862
206	3611	13836
207	3629	13819
208	3648	13810
209	3666	13792
210	3683	13772
211	3699	13750
212	3714	13725
213	3732	13709
214	3750	13692
215	3768	13677
216	3786	13661
217	3804	13645
218	3820	13623
219	3838	13608
220	3857	13597
221	3876	13584
222	3893	13564
223	3908	13541
224	3925	13520
225	3944	13508
226	3963	13497
227	3981	13482
228	4003	13477
229	4022	13465
230	4039	13446
231	4055	13425
232	4071	13401
233	4089	13388
234	4106	13368
235	4124	13351
236	4141	13333
237	4158	13313
238	4174	13290
239	4190	13271
240	4207	13249
241	4226	13238
242	4241	13212
243	4257	13190
244	4272	13166
245	4289	13146
246	4307	13130
247	4322	13106
248	4337	13083
249	4355	13065
250	4370	13042
251	4389	13030
252	4405	13008
253	4423	12991
254	4440	12973
255	4455	12949
256	4471	12926
257	4489	12910
258	4503	12884
259	4519	12862
260	4534	12839
261	4551	12821
262	4568	12801
263	4585	12782
264	4602	12765
265	4619	12746
266	4634	12724
267	4652	12707
268	4668	12686
269	4684	12665
270	4700	12645
271	4715	12621
272	4730	12598
273	4745	12573
274	4759	12549
275	4778	12535
276	4796	12518
277	4813	12500
278	4831	12485
279	4846	12463
280	4862	12441
281	4877	12418
282	4892	12395
283	4907	12372
284	4922	12348
285	4938	12329
286	4955	12311
287	4972	12292
288	4989	12274
289	5004	12251
290	5020	12232
291	5036	12211
292	5054	12196
293	5071	12178
294	5086	12155
295	5103	12137
296	5119	12118
297	5140	12110
298	5156	12088
299	5170	12065
300	5187	12046
301	5205	12030
302	5220	12009
303	5236	11989
304	5251	11967
305	5266	11943
306	5286	11932
307	5301	11911
308	5316	11888
309	5332	11869
310	5349	11852
311	5364	11830
312	5381	11811
313	5397	11790
314	5414	11775
315	5430	11754
316	5445	11733
317	5461	11712
318	5477	11692
319	5493	11673
320	5510	11656
321	5525	11633
322	5542	11616
323	5560	11602
324	5576	11581
325	5594	11565
326	5608	11543
327	5628	11531
328	5643	11509
329	5660	11492
330	5676	11473
331	5693	11454
332	5709	11435
333	5726	11418
334	5741	11396
335	5757	11378
336	5772	11357
337	5790	11340
338	5805	11320
339	5821	11300
340	5837	11281
341	5855	11266
342	5874	11253
343	5890	11233
344	5906	11213
345	5920	11191
346	5936	11172
347	5953	11154
348	5971	11138
349	5986	11118
350	6001	11096
351	6016	11076
352	6034	11060
353	6050	11040
354	6066	11021
355	6082	11002
356	6097	10981
357	6113	10963
358	6127	10941
359	6142	10919
360	6157	10899
361	6174	10881
362	6190	10863
363	6205	10841
364	6220	10822
365	6236	10802
366	6253	10786
367	6271	10770
368	6286	10750
369	6300	10728
370	6315	10707
371	6331	10688
372	6349	10673
373	6367	10657
374	6385	10643
375	6400	10621
376	6415	10602
377	6433	10586
378	6448	10565
379	6463	10545
380	6478	10525
381	6495	10508
382	6514	10494
383	6531	10477
384	6548	10460
385	6563	10441
386	6577	10418
387	6591	10397
388	6606	10376
389	6621	10356
390	6635	10335
391	6652	10317
392	6667	10298
393	6682	10277
394	6698	10259
395	6713	10240
396	6731	10223
397	6744	10201
398	6760	10183
399	6776	10164
400	6792	10145
401	6807	10126
402	6824	10110
403	6839	10089
404	6854	10069
405	6867	10047
406	6883	10029
407	6901	10014
408	6917	9995
409	6936	9982
410	6952	9963
411	6966	9942
412	6984	9927
413	7003	9913
414	7021	9897
415	7041	9884
416	7055	9864
417	7068	9841
418	7082	9821
419	7098	9802
420	7116	9786
421	7131	9768
422	7148	9751
423	7164	9733
424	7181	9715
425	7198	9698
426	7214	9681
427	7232	9665
428	7252	9652
429	7267	9634
430	7284	9616
431	7300	9598
432	7314	9578
433	7330	9560
434	7346	9542
435	7363	9525
436	7380	9507
437	7396	9490
438	7412	9471
439	7430	9456
