iter	Passed	Remaining
0	4	4042
1	6	3399
2	9	3134
3	11	2966
4	14	2863
5	16	2782
6	19	2725
7	21	2680
8	23	2631
9	26	2594
10	28	2564
11	31	2613
12	34	2585
13	36	2568
14	38	2559
15	41	2566
16	44	2554
17	46	2544
18	49	2581
19	52	2585
20	55	2579
21	57	2561
22	60	2548
23	62	2541
24	66	2574
25	68	2578
26	71	2580
27	74	2584
28	76	2570
29	79	2555
30	82	2579
31	85	2597
32	88	2586
33	90	2574
34	93	2566
35	95	2556
36	97	2546
37	100	2537
38	102	2527
39	104	2516
40	107	2509
41	109	2499
42	111	2487
43	114	2479
44	116	2468
45	118	2458
46	120	2449
47	123	2449
48	125	2441
49	129	2453
50	131	2448
51	134	2443
52	136	2437
53	138	2430
54	141	2425
55	144	2427
56	146	2422
57	148	2415
58	151	2414
59	153	2407
60	155	2401
61	158	2395
62	160	2388
63	162	2382
64	165	2378
65	167	2373
66	169	2366
67	172	2357
68	174	2353
69	176	2347
70	179	2343
71	182	2346
72	184	2341
73	187	2341
74	189	2337
75	191	2332
76	194	2327
77	196	2322
78	198	2315
79	200	2310
80	203	2304
81	205	2299
82	207	2294
83	209	2288
84	212	2285
85	214	2280
86	216	2275
87	219	2271
88	221	2266
89	223	2261
90	226	2262
91	228	2257
92	231	2252
93	233	2249
94	235	2245
95	238	2242
96	240	2239
97	242	2234
98	245	2234
99	247	2231
100	250	2228
101	252	2224
102	255	2221
103	257	2218
104	259	2215
105	262	2211
106	264	2207
107	266	2203
108	268	2198
109	271	2194
110	273	2190
111	275	2187
112	278	2186
113	281	2187
114	283	2183
115	286	2180
116	288	2177
117	290	2173
118	293	2170
119	295	2166
120	297	2163
121	300	2162
122	302	2159
123	305	2155
124	307	2152
125	309	2148
126	312	2144
127	314	2141
128	316	2138
129	319	2135
130	321	2132
131	323	2128
132	326	2125
133	328	2122
134	330	2120
135	333	2117
136	335	2114
137	337	2110
138	340	2107
139	342	2104
140	344	2101
141	347	2097
142	349	2094
143	351	2091
144	354	2088
145	356	2085
146	358	2082
147	361	2078
148	363	2075
149	365	2072
150	367	2068
151	370	2066
152	372	2063
153	375	2060
154	377	2058
155	380	2058
156	382	2055
157	385	2053
158	387	2050
159	390	2048
160	392	2047
161	395	2045
162	397	2042
163	400	2040
164	402	2036
165	404	2033
166	407	2030
167	409	2027
168	411	2024
169	413	2020
170	416	2017
171	418	2015
172	420	2011
173	423	2008
174	425	2005
175	427	2002
176	430	1999
177	432	1996
178	434	1993
179	436	1989
180	439	1987
181	441	1984
182	443	1980
183	446	1979
184	448	1977
185	451	1974
186	453	1971
187	455	1968
188	458	1965
189	460	1962
190	461	1955
191	464	1953
192	466	1950
193	468	1946
194	470	1943
195	473	1943
196	476	1941
197	478	1938
198	480	1935
199	483	1932
200	485	1928
201	487	1926
202	489	1923
203	492	1921
204	494	1918
205	497	1916
206	499	1913
207	501	1911
208	504	1907
209	506	1904
210	508	1901
211	510	1898
212	513	1895
213	515	1892
214	517	1890
215	519	1887
216	522	1884
217	524	1881
218	526	1879
219	529	1877
220	531	1874
221	534	1871
222	536	1868
223	538	1866
224	540	1863
225	543	1860
226	545	1857
227	547	1854
228	550	1851
229	552	1848
230	554	1847
231	557	1844
232	559	1841
233	561	1839
234	564	1837
235	566	1835
236	569	1832
237	571	1829
238	573	1826
239	575	1823
240	578	1820
241	580	1818
242	582	1816
